Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
67 helpful votes,91 contributions,1.0 of 5 bubbles,Dirty,When we arrived there was someone digging through the garbage bins.  The room was unacceptable. The bathroom was covered in a layer of dust. When you looked at the lights they were coated in dust and dirt. Only one bulb worked in the bathroom. There was a lot of dirt and hair behind the door like it hadn't been vacuumed or swept in weeks. The bathroom floor was actually dirty. The rack that held the towels was completely orange from rust. There was hair in the bed sheets. We didn't feel clean or safe. The 24 hour front desk is standing outside and ringing a bell. Stay somewhere else.,December 2021,none,Traveled as a couple,none,none,none,none,none,none,none,1,397
9 helpful votes,23 contributions,4.0 of 5 bubbles,Perfect for a Disney visit,"We stayed here for three nights while visiting the very nearby Disneyland. Little Boy Blue doesn't have fancy extras or facilities but it does have a spacious and well laid out room, free parking, a comfortable bed and a good night's rest. 15 minutes walk took us to the gates of Disneyland and 5 minutes took us to very nice eateries at Anaheim Garden Walk.  The room is dated, for sure, but we spent almost no time in it.  Our belongings were secure, the room was clean and we were well rested.  The only thing I miss, and this is so minor, is a coffee facility in the room. There is a microwave, which is no doubt very useful to some, and a very useful fridge/freezer. However, this is so minor and a regular thing with motels (I gather).  I just missed a coffee at 7am.  There is a",October 2021,none,Traveled as a couple,none,none,none,none,none,none,none,2,397
102 helpful votes,264 contributions,5.0 of 5 bubbles,Small butgreat,This family run hotel is only a 10 minute walk from Disneyland Resort and reasonably priced.  You can tell that the rooms were recently remodeled and new furniture put in. Great value for the price and You can park aftercheckout for $10.,February 2020,none,Traveled as a couple,none,none,none,none,none,none,none,3,397
4 helpful votes,2 contributions,5.0 of 5 bubbles,good place for the money,"we stayed for 4 nights, on a visit to Disneyland.  the front desk checked us in early.  the room was clean, comfortable beds, ac worked great.  Fridge and microwave.  lots of restrauants nearby.  easy walking to Disney. would stay again.",November 2019,none,none,none,none,none,none,none,none,none,4,397
129 helpful votes,189 contributions,4.0 of 5 bubbles,"Great location, fantastic staff and clean room","My sons and I stayed here in October this year, and found it to be a little gem.  We were first attracted to this property due to its price and location.  Once we got there, we realised that the location was fantastic, there is a great pizza shop around 100 metres away as well as a CVS and Walgreens super close for snacks etc.  Disneyland is only 500ish  metres away.  The room was a bit dark but it was really hot so made it cool.  The microwave and fridge was a bonus and it had a large table to sit at for meals.  The AC was effective and kept us cool.  We were able to get early checkin and the manager most accommodating.  I didnt expect the Hilton but I didnt pay Hilton prices either, I have stayed in worse for more money.  For the location it self it was the best selling point.",October 2019,none,none,none,none,none,none,none,none,none,5,397
86 helpful votes,76 contributions,1.0 of 5 bubbles,Dump.,"This is probably the worst motel I have ever stayed in. The reception is grubby the only member of staff, unfriendly. The room was dark, dirty and sticky. As I walked through the door my son stood on a safety pin which was embedded in the carpet. The carpet was stinking. The bathroom was stinking and each towel came with a lovely black hair in every fold. Thank god it was only 2 nights. Will definitely return to Kings Inn across the road. Far superior. Oh and the hair dryer, which was badly cracked and caked with hair, that didn’t even dry your hair was a health and safety issue waiting.",August 2019,none,Traveled with family,none,none,none,none,none,none,none,6,397
2 helpful votes,1 contribution,1.0 of 5 bubbles,DO NOT BOOK!,"DO NOT BOOK WITH THIS HOTEL! I REPEAT DO NOT BOOK! We booked thru their website for a very reasonable price. $100/night for one night in August. Well we get a phone call a month later saying that price is not right it is too low compared to other booking sites we can't charge you that price and have to cancel your reservation. Mind you they had sent us a confirmation when we booked on their website. The manager said she doesn't know the real price when i asked what will be the cost to stay then, she was clueless. Steer far away from this liars!",August 2019,none,Traveled as a couple,none,none,none,none,none,none,none,7,397
105 helpful votes,112 contributions,5.0 of 5 bubbles,Perfect base for enjoying Disney!,"After nearly three weeks of moving every night along Route 66 we were super excited to be staying put at the Little Boy Blue for two nights. We took our car into the Disney park in the morning then came out for a mid-afternoon break to check-in. Check in and out was quick and easy. Location is fantastic and was the main selling point for us. We stopped at a delicious pizza place which I also fully recommend (Pizza Press) that also sells great beers on our very short walk back to Disney.  Room was clean, comfortable and very spacious.  For the value this was perfect for what we needed.  Thank you Little Boy Blue for a great stay!",August 2018,none,Traveled as a couple,none,5.0 of 5 bubbles,none,none,none,none,none,8,397
4 helpful votes,12 contributions,2.0 of 5 bubbles,Cheap and decent,"My friend and I stayed here for 2 nights in October. Yes it was cheap, but after reading reviews felt like it was worth trying it out. We got there, and after settling in, tried the wifi to let our loved ones know we arrived safe and sound. It didn't work. After calling down about 5 times to the front desk, and an hour later it worked.   We went to bed, and I had the worst sleep ever. I could hear everything going on outside. The walls // windows // doors were paper thin and the traffic kept me awake. People walking to their rooms outside on the ""hallway"" felt like they were right in our rooms.   The breakfast is not a breakfast. Just some pieces of bread, a toaster, and some small pastries. Better off going to the Starbucks 2 minutes down the road.   Overall, fine if you want",October 2018,none,Traveled with friends,none,none,none,none,none,none,none,9,397
16 helpful votes,7 contributions,4.0 of 5 bubbles,Nice budget option,"We liked this place overall. It was a great place to stay for the price and proximity to the DLR/DCA Main Gates.  The woman working the Front Desk was super sweet and very quick with our check-in and check-out.   We didn't have any issues with the hotel itself. The room was clean, the bed was comfy, the shower worked. There's not a lot more we require from a hotel room.  There was an issue with a couple arguing in the parking lot of another hotel (shared parking lot) that woke us up, but we can't hold that against Little Boy Blue. Obviously it was nothing they have any control over.  I never heard any of our neighbors in adjacent rooms making any noise, but I could hear their showers. There were also some pretty loud cars/motorcycles that drove down Katella (modified exhausts)",September 2018,none,Traveled as a couple,none,none,none,none,none,none,none,10,397
1 helpful vote,5 contributions,5.0 of 5 bubbles,Scentsy reunion trip,Well I’d read the reviews for here some good some bad but I loved it. It’s a motel you get a room. Well this room was spacious clean and had everything we needed. We had a lovely clean bathroom the crisp white towels were changed daily n our beds made. The brekky were very simple as expected the toast were yum wish I had some now lol. The pool was small but clean an adequate as we were sightseeing most of our time. :) scentpotjen,July 2018,none,none,none,none,none,none,none,none,none,11,397
2 helpful votes,8 contributions,3.0 of 5 bubbles,Decent for price and proximity,"This motel was pretty good, given its price and proximity to Disneyland. Nothing special, (by any means) but it had everything we needed, so I can't complain! Staff was nice and free parking/wifi was definitely handy. About a 20 min walk to Disneyland, and close to restaurants and small stores (CVS/Walgreens). Not bad!",July 2018,none,none,none,none,none,none,none,none,none,12,397
252 helpful votes,989 contributions,4.0 of 5 bubbles,Good budget motel,"Spent 3 nights here and found the motel to be clean comfortable and spacious plus the location is only 10 minutes walk to Disneyland and less than 5 minutes to Harbor Boulevard to catch the buses if you haven't got a car.  The breakfast is just toast, jam, pastries, coffee and orange juice which is basic but OK.  The staff were nice and when I checked out let me leave my bags while I killed time shopping as my flight was in the evening.  I have read complaints about the place but people forget thus is a budget motel and a nice one at that. If you want perfection go pay double or triple the price elsewhere.",May 2018,none,none,none,none,none,none,none,none,none,13,397
2 helpful votes,4 contributions,4.0 of 5 bubbles,"Comfy, clean, close to Disneyland","Room is updated and clean. Bed is very comfortable with nice sheets. Includes a microwave and refrigerator BUT NO coffee pot. Also advertises continental breakfast but literally a few pieces of bread for toast, a couple packaged danishes, orange juice, coffee and decaf tea. A family of 4 would deplete the entire stock. I'm thinking they put very little out to cut down on wasting food. There is a Starbucks and a 7-11 within a half a block. 15 min walk to Disneyland entrance gate. I would stay here again but will bring a coffee pot with me.",April 2018,none,none,none,none,none,none,none,none,none,14,397
6 helpful votes,16 contributions,3.0 of 5 bubbles,OK for a quick get away,"Small hotel, clean, not fancy at all but the bed was comfy. Conveniently located by Disney and Gardenwalk. The shower was a bit small. Check in was easy. Never made it to the free breakfast. I definitely wouldn't stay here if I was needing a hotel for more than one night and/or had my kids with me.",January 2018,none,none,none,none,none,none,none,none,none,15,397
73 helpful votes,44 contributions,5.0 of 5 bubbles,gets the job done at the right price,"The hilton is down the street for 500 a night if thats what you're looking for. This isnt that. What it is is a decent motel room for a few nights you can do on the cheap. They have a nibble on the way out in the morning consisting of a danish or a piece of fruit and coffee. The room was clean. Had a microwave and a fridge too. Premium cable. The wifi actually worked excellently. ,No complaints.",January 2018,none,none,none,none,none,none,none,none,none,16,397
11 helpful votes,19 contributions,1.0 of 5 bubbles,Blah Motel DO NOT RECCOMEND,"I stayed here for a visit to Disneyland which is walking distance away. First off check in is tiny and VERY HOT. The room is small and average with old room and dirty covers on the bed. The bathroom was dirty, dusty, and the shower moldy. At midnight a woman walking up and down talking loudly on the phone was outside our room and kept us up until we called the lobby asking for them to do something as we could not sleep, twenty minutes later nothing. The ""free breakfast"" was not a breakfast with cheap, gross packaged pastries and thats it. It is VERY expensive for the price and I WOULD NOT STAY HERE.",August 2017,none,none,none,none,none,none,none,none,none,17,397
3 helpful votes,1 contribution,1.0 of 5 bubbles,Don't make a reservation at this motel!!!!!!,"We had a confirmed 3 day reservation at this motel. When we arrived a few minutes after 6:00pm. We were rudely told something was wrong with our credit card. And our reservation was cancelled at 6:00 pm.  We called our credit card company and nothing was amiss and there had not been  a charge from this motel.  This motel had lied to us.  We tried to reason with the clerk, he was rude, abrupt, and just yelled at us.  I would not want anyone to have this experience or worry. We had to drive 80 miles to get another room for the first night our trip. Do not trust them!!!!!",July 2017,none,none,none,none,none,none,none,none,none,18,397
