Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
37 helpful votes,30 contributions,5.0 of 5 bubbles,Fantastic Hotel!,"Why is this a 3 star hotel??  I just stayed at a 4 star in Tahoe this week that was way below the caliber of this hotel.  We just left this morning.  Check in and out was super easy.  Room was clean, large, no complaints.  We are IHN platinum ambassadors and this property was a delightful surprise.  Really can't say much else other than this should be a 4 star and fantastic location!",February 2023,Third floor was awesome!,none,none,5.0 of 5 bubbles,none,none,none,none,none,1,157
none,1 contribution,5.0 of 5 bubbles,Excellent Evening at Crowne Plaza Costa Mesa OC,"We stayed a night for president’s day weekend. We checked in around 8 PM and were greeted by excellent service from their front desk specialist, Alexander. Alexander was quick to get us checked in and truly helped us feel welcome. I can say it was one of the best check in experiences I have had. He was able to provide all pertinent info we needed and promptly direct us to our room. We found our room very clean and ready for a relaxing evening after a day on our feet. Thanks Alexander and the team at Crowne Plaza Costa Mesa Orange County!",February 2023,none,Traveled as a couple,none,none,none,none,none,none,none,2,157
1 helpful vote,2 contributions,5.0 of 5 bubbles,"Great service from Alexander, Javier and the rest of the team.","Great service from walking in the front door to checkout. Stayed 10 nights and Javier and Alexander on the front desk were brilliant - nothing was too much bother for the dream team ! Room was quiet and comfortable and the hotel is in a good location for shops, restaurants and bars. I'll definitely use again if I'm ever back in Orange County.",February 2023,Ask for a pool view if you want the quietest rooms.,Traveled on business,none,5.0 of 5 bubbles,none,none,none,none,none,3,157
none,none,5.0 of 5 bubbles,Great customer service - Alexander,"The front desk receptionist, Alexander was very accommodating to me. He was polite and super respectful.  Gave me a king room on the top floor and let me know about the hotel policies and amenities.  I will come back to this hotel In the near future.  Thank you, Alexander for a pleasant stay.  Jimmy L",January 2023,none,Traveled as a couple,none,5.0 of 5 bubbles,none,none,none,none,none,4,157
none,none,5.0 of 5 bubbles,Great time had and lovely hotel,"Stayed here over Xmas and new year, great location for getting around. Hotel spotless and clean. Facilities good all round, staff very helpful at all times, especially Alexander helped with all our needs, nothing was to much trouble and would definitely stay here again and recommend to others.  Food and drink in the attached Fireside Tevern lovely.",December 2022,"Great hotel, staff wonderful and great location especially for the shops and getting around",Traveled as a couple,none,5.0 of 5 bubbles,none,none,none,none,none,5,157
none,none,3.0 of 5 bubbles,BREAKFAST INCLUDED OR EVEN AVAILABLE IF YOU PAY IS NOT ALWAYS TRUE,We have stayed here before it HAS happened before however I thought we all make mistakes however at exactly 10:10am we come down for breakfast EVERYTHING is completely cleaned and closed though sign states buffet breakfast ends at 11am we are very UPSET 😠 we have 2 rooms and now we are all stuck having to figure out where to go for breakfast we are wasting time and money! GIVE YOUR GUESTS WHAT YOU OFFER !!,December 2022,Unless its early DONT plan on having breakfast buffet even if you payed though it should end at...,none,"Dear lizette v,  Thank you for making us a part of your travel. Here at Crowne Plaza Costa Mesa Orange County, we’ve thought of everything to help you unwind and rest easier, ensuring a productive day ahead.  I saw your comments and am sorry for the events that made your stay unsatisfactory. I know this is not what you expected from a quality chain like ours. Furthermore, I forwarded your comments to our local area managers and took action to prevent this from happening again.  I invite you to come and visit us on your next travel so you can create new memorable moments here.  Great wishes,  Oscar C. Case Manager IHG Service",4.0 of 5 bubbles,none,none,none,none,none,6,157
none,1 contribution,5.0 of 5 bubbles,"Great Shower, Comfortable Bed","We needed to fly to Orange County a day earlier than planned or we would have been stuck in the cold for the holiday.  Booked this with my IHG points. Check in was a breeze, Alexander is just as great as the reviews. I tried to take him home with us but they quickly attached a ball & chain to his ankle making him too heavy for even 2 of us to carry.  The bed was very comfortable, we didn’t hear any sounds from other rooms or the hallway, very good sound proofing! The best thing about the room was the rain shower. It was the best rain shower I’ve ever had!",December 2022,none,Traveled as a couple,none,none,none,none,none,none,none,7,157
none,1 contribution,1.0 of 5 bubbles,Does not provide daily room clean up or fresh linen,"Hotel does not change bed linen nor clean room.    Booked five nights.  Come to find out second day they don’t do not change bed linen nor clean. The room.   Also big surprise upon arrival,  they charge $25 parking fee.     The room is ok except minor details, but I am shocked this place is in category of a hotel.   It is a motel.   It reminds me of the old days Motel 6",December 2022,none,Traveled solo,"Hi ggoogglle d,   We appreciate you for choosing our hotel. Thank you for sharing your thoughts about your stay.       We strive to achieve high-quality standards, deliver guest satisfaction and serve travelers needs. I'm sorry that did not happen during your stay. Please know that your feedback is extremely valuable to us. I forwarded this to our hotel management for improvement of guest experience. I've also sent you a private message to discuss this further.       We hope that you give us the opportunity to serve you again in the future.     Sincerely,      Riz E.  Case Manager   IHG Service",none,none,none,none,none,none,8,157
none,2 contributions,5.0 of 5 bubbles,Stay here over other hotels in the area!,"Compelled to write this because of the exceptional service I received from Alexander at the front desk. I was initially booked at the Hilton across the street - after many issues I called the front desk here and Alexander immediately made me feel safe, comfortable, and valued. My trip was for business and he helped ensure I had a nice room with strong wifi. The room is very good, modern with a lot of outlets and plenty of storage. My only room for improvement would be to level up the amenities in the bathroom, currently they’re a bit basic. Learned my lesson from other hotels in the area and I will only be staying here every time I visit OC!",December 2022,none,Traveled on business,none,none,none,none,none,none,none,9,157
none,none,5.0 of 5 bubbles,Excellent Customer Service,Excellently customer service from the front desk team.  Javier made sure to accommodate our needs since I broke a foot right before our trip.  Alexander was so helpful to make our Thanksgiving celebration away from home a great one.  Just a fabulous team who really cares.  Would definitely come back to stay here again.  Location is another plus!,November 2022,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,10,157
