Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
3 helpful votes,13 contributions,4.0 of 5 bubbles,What you normally expect from Renaissance...,"The Good: Hotel is as good as other Renaissance hotels. Assures me that my Renaissance choices are always meeting my expectations. Hotel is located far from the LA noise in friendly neighborhood near Orange County John Wayne Airport. Very close to Newport Beach. I really liked the live performance in the lobby at nights. Small fireplace outdoor makes you feel cosy and warm in breezy Christmas nights. Like most Renaissance hotels, the random modern objects in the lobby are wisely selected and arranged which bring an artistic character to the hotel. In close neighborhood, you can go to South Coast Plaza for shopping and there are plenty of good food options nearby.  The Bad: Parking can be a problem. Hotel has a self parking garage for a fee but not a proper guest parking. All the",December 2022,none,Traveled as a couple,"We greatly value your time and appreciate your detailed feedback. Reading that our location suited your travel preferences perfectly is exciting. We also love that our warm atmosphere impressed you along with our beautiful decor and artwork. The live entertainment and outdoor fires are a few of my favorite features too and I am glad you could enjoy them too. However, we regret you endured any oversights while at our property. We take your input seriously and will resolve these matters immediately. We hope you will be back at Renaissance Newport Beach Hotel so that we can win you over completely.",5.0 of 5 bubbles,none,none,none,none,none,1,86
none,1 contribution,1.0 of 5 bubbles,TERRIBLE HOTEL. STAY AWAY. THEY STEAL YOUR MONEY.,"I stayed at the Renaissance Newport Beach Hotel from December 23 to December 26. We reserved this on December 16th and paid it in full. When I arrived on the 23 I was told it was not paid. After stating that it had been and the front desk telling me it wasn't, I decided to just pay for one night and figure it out tomorrow. They charged around $220. The next morning I called the front desk to confirm it had been paid. I spoke with Stacy, who said that it had been paid and they would refund the money immediately, which they never did. The next morning my sister bought something from the hotel store which was $32.33. When I woke up the $32.33 charge was made on MY card. The reasoning for the hotel was that we ""had the same last name.""   So, if someone goes to your hotel and has the",December 2022,none,none,"We thank you for your time and feedback. We did look into this matter immediately and were informed that the manager did request the night to be compensated through Expedia. It has been confirmed that the amount was refunded. This was explained at check-out and the final bill shows $0. We are sorry there was any confusion. This is not typical and unfortunately, as the reservation was not made with us, we cannot make the changes ourselves without approval from the third party. We will ensure our team explains this clearly in the future.",none,none,none,none,none,none,2,86
1 helpful vote,2 contributions,5.0 of 5 bubbles,Great Bar and Hotel,"Arturo, Raz, and Reggie were fantastic. The bar was fantastic, particularly the bar staff, and the hotel was great. The remodel looks excellent, this is definitely a five-star experience. All of the guests at the bar seemed very happy with their stay.",November 2022,none,Traveled on business,"Alex, we cannot thank you enough for such kind feedback! It was exciting to read how impressed you were with our team's charm and dedication, especially Arturo, Raz, and Reggie! Our goal is to provide a perfect stay for all of our valued guests here at Renaissance Newport Beach Hotel. Your perfect score and praise are heartwarming, and we hope to welcome you back soon.",5.0 of 5 bubbles,none,none,none,none,none,3,86
669 helpful votes,2835 contributions,5.0 of 5 bubbles,Don't waste your time,"Stayed here for one night and wish I'd stayed somewhere else. The car park is not exactly at the hotel's door, especially if you park on the Upper Level. When we checked in, they were one of the only hotels on our honeymoon not to wish us congratulations. The room was on the ground floor, noisy and not particularly special, though it was quite large.  In addition, nobody went above and beyond to assist with bags though we had loads, ask us if it was a special occasion or wish us well for our trip. The most friendly and considerate member of staff we came across was the housekeeping lady who was super polite and warm. I would not recommend staying here.",August 2022,none,none,"Congratulations, Sarah, and my deepest apologies for our team not saying this sooner! Knowing we marred such a special trip is disheartening. We will be using your feedback as a teachable moment with our staff so we can ensure the high level of service our valued guests deserve. Please allow us another opportunity to improve your impression and show you what we are truly capable of.",4.0 of 5 bubbles,none,none,none,none,none,4,86
24 helpful votes,21 contributions,5.0 of 5 bubbles,Quick Night in the O.C.,"Found myself having to be in the O.C. all weekend so decided to stay the night. The Renaissance Newport Beach fit the bill! From getting out of my car (valet staff) to checking in to hotel staff milling about the property, all have been friendly and helpful. The property is modern and fun, with a restaurant and bar (I really wanted to try a pumpkin martini but didn’t have the time). I have the basic king room which looks exactly as it does on the website. The use of floor with an area rug makes the room feel larger and more open. There is a Keurig in the room with coffee and tea and they have room service as well (waiting for my oatmeal and coffee as I type this) and a smart TV with access to your streaming accounts. Needed a late checkout which was no problem.   Frances from",October 2022,none,Traveled solo,"Reading that our beautifully modern ambiance impressed you upon arrival is exciting, Dana. However, we are even happier to know that our accommodations, amenities, and service met all of your expectations here at Renaissance Newport Beach! Thank you for your glowing compliments and recommendation! We hope to have you back in the future!",none,none,none,none,none,none,5,86
28 helpful votes,50 contributions,5.0 of 5 bubbles,Breakfast is a must!,This hotel is very convenient to the airport. They have a free shuttle to and from the airport. The elevators are crazy fast which is so nice!  The best thing about this hotel is the breakfast. You have to get it! Everything on the menu is delicious! We would definitely stay here again! Rooms are nice too.,September 2022,none,Traveled with family,"The fresh local flavors used by the talented chefs at CURRENT Coastal Cuisine are my favorite too! I am so happy you could indulge during your stay! It was a treat being able to offer a seamless stay with our ideal location, comfortable accommodations, and delicious dining options here at Renaissance Newport Beach Hotel. We hope we can do it again soon!",none,none,none,none,none,none,6,86
none,1 contribution,5.0 of 5 bubbles,Outstanding Customer Service!!!,"I stayed for a week for business and pleasure at this beautifully renovated hotel. The staff and managers are outstanding. They truly care about their guests and passionate about service. Special mention for excellent service by Mary (Restaurant Manager), Reggie (waiter) and Markus ( GM). The Wednesday reception for BonVoy Elite provided an extra touch and the food were amazing. It is also worth mentioning the cleanliness and convenience to everything. I highly recommend this hotel.",August 2022,none,Traveled on business,"Here at Renaissance Newport Beach Hotel, we understand that excellence is in the details! We are so happy our small moments and personal service made your experience five-star worthy. We will gladly celebrate our team for a job well done, especially, Mary, Reggie, and Markus! Thank you for recommending us so highly. We hope we get the chance to welcome you again soon!",none,none,none,none,none,none,7,86
37 helpful votes,21 contributions,5.0 of 5 bubbles,Great Family Vacation,"Wow! The RNB has been our family destination for years.  We love this hotel with its warm and loving staff and fun Beachy decor.  Thank you to Mackenzie and Braydon at the front desk for taking great care of us from check in to check out. Breakfast at Current is always awesome.  The food is so delicious and always has a beautiful presentation.   While we have our favorites from the menu, they also brought back the awesome buffet.  There is a great assortment for all and one item Is better than the next thanks to a great Chef!  Luis is unbelievable. He takes such great care of us. He makes the best specialty coffee for us with Vanilla lattes being  a family favorite. The breakfast staff works so hard and takes customer service to a whole new level. Carina, Luis and Mary are like",August 2022,none,Traveled with family,"Thank you, Nancy, for continuing to choose Renaissance Newport Beach. Our entire team truly loves welcoming you each visit and will be over the moon to hear your generous compliments, especially Carina, Luis, Mary, Mackenzie, and Braydon! We understand that excellence is in the details and are happy this stands out and ensures a five-star experience every time you are here. All of us will be eagerly awaiting your next trip so you can further indulge in our fantastic features and luxurious accommodations!",none,none,none,none,none,none,8,86
12 helpful votes,55 contributions,5.0 of 5 bubbles,Thanks Renaissance :-),"Such an amazing stay at Renaissance Newport Beach. This hotel has such an amazing vibe. The entire place is so nice and clean, the decor was very hip and modern. Every single person who works here was so friendly and eager to help.   We stayed in a 2 Queen room that had a Mountain View. The room was spacious, clean and very well kept. I would definitely stay here again and recommend to anyone visiting.",July 2022,none,Traveled with friends,none,none,none,none,none,none,none,9,86
2 helpful votes,11 contributions,1.0 of 5 bubbles,FRAUDULENT,"I saw the reviews on this hotel a day before checking in so I couldn’t cancel our reservation anymore. Day of our checkin, I thought it weird that they charged incidentals on my credit card 5x for a night stay but I let it go since the charges were pending. Overall, our 1 night stay was good. The hotel has a nice modern touch and it was clean. The bed was comfy. Checkout was fast and lady at the counter said that they would email me the bill. They never did, I had to call again to ask. A few hours later I was billed for another 4x my actual bill. Tried talking to a manager, was hung up on TWICE.  I don’t know what kind of company you guys are running but these are FRAUDULENT CHARGES and someone has to be accountable for it. DO NOT BOOK THIS HOTEL if you don’t want to deal with",July 2022,none,Traveled with family,We are surprised to learn of the difficulty you have had with your bill as well as with resolving it with our team. Please reach out to Mark at Mark.Sugars@PyramidHotelGroup.com. We want to discuss this further and assist you in the best way possible. Thank you for your time.,none,none,none,none,none,none,10,86
