Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
295 helpful votes,316 contributions,3.0 of 5 bubbles,Very disappointing...,"I have stayed at this property many times as we live locally and at times want to enjoy a night away with the kids and dogs.  They have been for the most part, good stays.    In preparation for my daughters upcoming birthday we had planned to rent a room for the sole purpose of pick up and drop off for her friends as they are going to a musical at Segerstrom Hall next door and for my son to swim while they are at the performance.  We also want to serve cake after the musical to her friends.    I reached out to the property to see if it would be acceptable to bring the 16 girls to the pool/patio area to sing ""Happy Birthday"" to our daughter and enjoy a slice of cake which would not take more than 30 minutes (after 5pm so there likely would be n one still swimming) and was told,",January 2023,none,none,"Dear Greggfi626,  We greatly appreciate your feedback and for providing an opportunity to make improvements. Please be assured that our entire staff is continuously working very hard on improving the service and product we extend to our guests.   Please accept my sincere apologies for being unable to meet your expectations.    Feedback is extremely important to any organization; particularly when the service has been less than exemplary and we greatly appreciate you sharing your experience. If your travel brings you back to The Westin South Coast Plaza, please forward me your confirmation so I may personally prepare for your arrival. I will ensure that your stay will be a renewing one where you enjoy the true Westin Experience.",none,none,none,none,none,none,1,189
none,none,4.0 of 5 bubbles,Excellent Hotel,Beautiful rooms we received an upgrade which was stunning. Housekeeping service perfect and gorgeous staff on our floor. Starbucks closed more than it was open. Facilities awesome. Great location to the shopping mall Staff fantastic Very clean and hotel smells nice Warm on the cold weather . Nice pool and gym,January 2023,none,Traveled as a couple,none,5.0 of 5 bubbles,none,none,none,none,none,2,189
57 helpful votes,87 contributions,1.0 of 5 bubbles,Got ripped off at this hotel that caters to conference crowd,"Stayed here 12nights for business. This is a conference hotel, lobby and facilities often pretty crowded with conference attendees which was annoying at times. They were holding multiple different conferences every single day of my stay. Nothing remarkable about the rooms or amenities; just plain business hotel. The worst part was the unfair charges on my bill that left me feeling ripped off. I was very surprised to find self parking and valet fees were charged on same nights 7 times, which is of course impossible because I had one car. I initially self parked and then used valet several times during my stay. When requested the overlapping self park charges to be reversed as I shouldn’t be charged on top of valet ($44), the front desk staff and manager Diana refused, saying I",November 2022,Be aware of the parking and valet charged as I explained in my review,Traveled on business,"Dear travel550,  We greatly appreciate your feedback and for providing an opportunity to make improvements. Please be assured that our entire staff is continuously working very hard on improving the service and product we extend to our guests.   Please accept my sincere apologies for being unable to meet your expectations.    Feedback is extremely important to any organization; particularly when the service has been less than exemplary and we greatly appreciate you sharing your experience. If your travel brings you back to The Westin South Coast Plaza, please forward me your confirmation so I may personally prepare for your arrival. I will ensure that your stay will be a renewing one where you enjoy the true Westin Experience.",none,none,none,none,none,none,3,189
50 helpful votes,63 contributions,2.0 of 5 bubbles,Do not stay here if you want a good night’s sleep!,"Upon reading the reviews about road noise. I made sure to upgrade to the park view, high floor.   However upon check in, I was given the wrong room (high floor, but facing the highway). So I went down after traveling near 24 hours and politely mentioned that I had been given the wrong room and showed my booking confirmation. The front desk guy responded, “your room is already an upgraded one.” To which I showed him that I had paid the extra money to go park side from that one and it wasn’t.  He huffed at me and moved me to the other side of the building, but on a much lower floor and the corner side (avoid anything with ‘113’ and below in your room number or you’ll see what I mean!) so in the end I was up all night with road noise regardless from Anton blvd instead of the 5",September 2022,Avoid corner rooms (ending in 112 and below),Traveled solo,"Dear NickyFM,  We greatly appreciate your feedback and for providing an opportunity to make improvements. Please be assured that our entire staff is continuously working very hard on improving the service and product we extend to our guests.   Please accept my sincere apologies for being unable to meet your expectations.    Feedback is extremely important to any organization; particularly when the service has been less than exemplary and we greatly appreciate you sharing your experience. If your travel brings you back to The Westin South Coast Plaza, please forward me your confirmation so I may personally prepare for your arrival. I will ensure that your stay will be a renewing one where you enjoy the true Westin Experience.",none,none,none,none,none,none,4,189
64 helpful votes,86 contributions,1.0 of 5 bubbles,An expensive motel experience,"It was a very expensive motel experience. I requested for a quiet room with a view. I was given a room near the back stairs on the lower floor. There was a lot of sound at night from the back stairs doors, the refrigerator rattled all the time and the pipes were noisy. I was also charged an unknown expense after I left the hotel a day later. It is a run down hotel at around US $500 a night.",September 2022,Avoid the corner rooms ending x11 rooms.,Traveled on business,"Dear 902sc,  We greatly appreciate your feedback and for providing an opportunity to make improvements. Please be assured that our entire staff is continuously working very hard on improving the service and product we extend to our guests.   Please accept my sincere apologies for being unable to meet your expectations.    Feedback is extremely important to any organization; particularly when the service has been less than exemplary and we greatly appreciate you sharing your experience. If your travel brings you back to The Westin South Coast Plaza, please forward me your confirmation so I may personally prepare for your arrival. I will ensure that your stay will be a renewing one where you enjoy the true Westin Experience.",none,none,none,none,none,none,5,189
142 helpful votes,115 contributions,4.0 of 5 bubbles,Nice hotel for conference or shopping,"I was here for a work thing. I stayed in a standard king room, and I attended a conference in one of the ballrooms. The conference facilities were fine, although our ballroom was quite a distance from the bathrooms. I liked the courtyard for the breakfast and the permanent tent for the lunch. Food was standard hotel conference fare.  The public rooms are lovely. The staff are all polite and do things like run to open the door. The housekeeping remembers to bring fresh water and also cleans (not requests required). Maybe traveling in 2021/early 2022 has made me drop my standards, but I found that everything during my stay at the Westin excellent.  The shower was okay. California water conservation means that water pressure isn't great. But the bathroom was reasonably new and",September 2022,none,none,none,none,none,none,none,none,none,6,189
6 helpful votes,5 contributions,2.0 of 5 bubbles,NOT WORTH IT AT ALL.,"We were looking forward to our stay here, but sadly were disappointed at every turn.   1. The hotel is overpriced for what it is and they upcharge you for every. single. thing. 2. The rooms were full of dust.  The cleaning staff were clearly doing a very superficial job because there was a layer of dust on every surface every day, which I had to wipe off myself. 3. The management and front desk staff were unhelpful.  There was a snafu with our room booking which we booked on booking.com and when we tried to get it solved with the hotel, they were entirely unwilling to help out 4. Speaking of the front desk, it seems they do not speak to each other.  We had called ahead to ask whether there would be a charge for getting deliveries and were told as long as you are a guest there is",July 2022,none,none,"Dear Anjali42,  We greatly appreciate your feedback and for providing an opportunity to make improvements. Please be assured that our entire staff is continuously working very hard on improving the service and product we extend to our guests.   Please accept my sincere apologies for being unable to meet your expectations.    Feedback is extremely important to any organization; particularly when the service has been less than exemplary and we greatly appreciate you sharing your experience. If your travel brings you back to The Westin South Coast Plaza, please forward me your confirmation so I may personally prepare for your arrival. I will ensure that your stay will be a renewing one where you enjoy the true Westin Experience.",3.0 of 5 bubbles,none,none,none,none,none,7,189
14 helpful votes,11 contributions,3.0 of 5 bubbles,"AVOID INTERACTION WITH THE FRONT DESK MANAGER, MRS. MONTANO, AS MUCH AS YOU CAN.","The Westin South Coast Plaza is a good hotel - with its great location but with its uneven staff quality and performance level: some staff are competent and well trained while others are not, including some mid-level managers that I recently encountered - that could damage the hotel’s good reputation.  Here is an example:  We arrived at the hotel on Sunday (24 July) after an overnight flight from Maui, Hawaii to LAX at 10:30 am - with an international flight to Europe in the evening. We had already informed the hotel in writing that we would arrive early at the hotel. We were fully aware that early check-ins depend on the room availability. We had been prepared to wait and we were waiting in the lobby. Then, the Front Desk Manager, Mrs. Montano, came to us and essentially said:",July 2022,"-Avoid interaction with the Front Desk Manager, Mrs. Montano, as much as you can.

-Ask to see...",Traveled with family,"Dear QLB,  We greatly appreciate your feedback and for providing an opportunity to make improvements. Please be assured that our entire staff is continuously working very hard on improving the service and product we extend to our guests.   Please accept my sincere apologies for being unable to meet your expectations.    Feedback is extremely important to any organization; particularly when the service has been less than exemplary and we greatly appreciate you sharing your experience. If your travel brings you back to The Westin South Coast Plaza, please forward me your confirmation so I may personally prepare for your arrival. I will ensure that your stay will be a renewing one where you enjoy the true Westin Experience.",none,none,none,none,none,none,8,189
none,1 contribution,1.0 of 5 bubbles,Very disappointed...,"I'm a Titanium Elite BonVoy member. After travelling so much for business, I wanted to take my family away for a great experience. The fact that this hotel can't get the simplest things right is quite unfortunate. I've stayed at this property before for business and love the location (proximity to beaches, pool, businesses, restaurants), so I thought it would be a great destination for my family (wife and 4 kids) vacation to use points I've accumulated. My issues with the property largely revolve around the incompetence and lack of follow-up of the staff. Let me provide a quick timeline of our 3-night stay... - Arrived June 24 in the afternoon. Person who checked us in was very nice, but made NO MENTION of the fact that there wouldn't be a cleaning service unless we requested",June 2022,none,none,"Dear jimsH8437FM  We greatly appreciate your feedback and for providing an opportunity to make improvements. Please be assured that our entire staff is continuously working very hard on improving the service and product we extend to our guests.   Please accept my sincere apologies for being unable to meet your expectations.    Feedback is extremely important to any organization; particularly when the service has been less than exemplary and we greatly appreciate you sharing your experience. If your travel brings you back to The Westin South Coast Plaza, please forward me your confirmation so I may personally prepare for your arrival. I will ensure that your stay will be a renewing one where you enjoy the true Westin Experience.",none,none,none,none,none,none,9,189
46 helpful votes,26 contributions,4.0 of 5 bubbles,Great Staff,"Fromm the moment you park your car and enter the hotel the staff is friendly and eager to please.  The rooms are well appointed and very comfortable. The bar and restaurant are inviting.  The location cannot be beat.  Close to dining, shopping and the theater.  Segerstrom is a world class entertainment venue.",June 2022,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,10,189
