Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
7 helpful votes,8 contributions,5.0 of 5 bubbles,Great Surprise Next to Disneyland,"Our trip to Disneyland was to celebrate our granddaughter's birthday.  In the past we have stayed at one of Disney's properties but decided to go with the Holiday Inn as it is next to Disneyland (it seems necessary to say that our usual Disney hotel was under significant construction and there were no guest services being offered). The location was perfect and we were able to use a door to door bus ride provided by the city for a small fee (a real bargain for multiple days).  The room was tight but comfortable and clean enough. The reduced cleaning schedules brought on by covid is taking its toll on hotel rooms (we have seen this everywhere in the past 2 years). However, the housekeeping staff are great. They were so helpful with anything we needed including some quick sewing",January 2023,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,1,13
34 helpful votes,35 contributions,5.0 of 5 bubbles,"Great decor, clean rooms (long walk)","My family of 5 stayed for 3 nights for our 1st visit to Disneyland (frequent visitors to Disney World). We stayed in a 2 bedroom animation suite since we’re 4 adults and 1 early teen, and the decor and extra space started the vacation positively for everyone. The rooms were very clean and the decor was amazing, with Cars, Toy Story and Monsters, Inc. It appeared to be recently renovated because I didn’t see pictures online that matched this. Unfortunately, my wife only recorded video and TripAdvisor won’t let me upload screen shots from that video as pictures so I can’t share how great things looked. Another plus is that each bedroom had a bathroom, and the bathroom sinks are separate from the shower areas so 4 of us were able to get ready for the day at the same time. There",June 2022,Consider your family’s fitness level before deciding to walk to Disney,Traveled with family,none,none,none,none,none,none,none,2,13
106 helpful votes,190 contributions,4.0 of 5 bubbles,"Great location, comfortable, but pretty worn for a Holiday Inn","If you're travelling to Disneyland, this is a great place to stay. If you're in Anaheim for another reason, you might look elsewhere for a more comfortable and updated place to stay. We stayed 4 nights here at this hotel because of its proximity to Disneyland (it says 1 block, but its closer to 1/2 a mile, walk). In that case, it works perfectly - easy sidewalk walking to the ""secret"" back entrance to Disneyland by Downtown Disney.    The hotel rooms a very clean, and the beds are comfortable - those are the most important things to me on a trip like this and why i rated it the way I did. The hotel though needs some major help - one of the two small elevators is out (and looks like it has been for awhile). Signs on the wall have all the letters peeled off. The loose carpet in",February 2023,none,Traveled as a couple,none,5.0 of 5 bubbles,none,none,none,none,none,3,13
none,none,5.0 of 5 bubbles,Great Place to Stay!,"This hotel is one of our go-to’s when we stay at Disneyland! The room is always clean, the employees are friendly and helpful! It is a super quick walk to Downtown Disney and Disneyland! There is lots of parking and the amenities are great! If you’re heading to Disneyland I would recommend this place to stay!",February 2023,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,4,13
none,1 contribution,5.0 of 5 bubbles,Excellent location,"Clean rooms, very close and kind staff! We love staying here each time we go to Disney. It's a very quick Uber ride to the monorail and our beds are always so comfy at the end of a long, long day!!!!!",February 2023,none,Traveled with family,none,none,none,none,none,none,none,5,13
none,1 contribution,5.0 of 5 bubbles,Wonderful stay!,"We had a great experience during our check in friendly and knowledgeable front desk staff. Room was great, also love the outdoor pool and jacuzzi area during our stay for a Disneyland trip! Will be back",January 2023,none,Traveled with family,none,none,none,none,none,none,none,6,13
none,none,5.0 of 5 bubbles,"Beautiful location, great service","Everything about this place is absolutely wonderful. Good location, great service, state of the art condition. The food at the on site restaurant was great. Good value for the money. We would recommend to anyone.",January 2023,none,Traveled as a couple,none,5.0 of 5 bubbles,none,none,none,none,none,7,13
none,none,5.0 of 5 bubbles,Great experience!,By far the best place to stay while going to Disney. Itzy at the front desk made the experience so much better! Nothing but top of the line customer service! I would not suggest any other place around.,January 2023,none,Traveled with friends,none,none,none,none,none,none,none,8,13
none,1 contribution,5.0 of 5 bubbles,The best place to stay near Disneyland,We chose this hotel for our first trip to Disneyland and we were beyond impressed.   The location and the breakfast is amazing and the staff makes you feel at home which makes the stay so much better. Definitely a very satisfied customer and we will be back on future Disneyland trips and trips to Orange County,January 2023,none,Traveled with family,none,none,none,none,none,none,none,9,13
none,1 contribution,5.0 of 5 bubbles,Disney hotel,"The best hotel close to Disney! We’ve stayed here a couple of times and the staff is so reliable and friendly. Parking near rooms and a nice gift shop close to the lobby.  Not to mention the rooms, they are extremely clean in a nice a quiet neighborhood.",January 2023,none,Traveled with family,none,none,none,none,none,none,none,10,13
2 helpful votes,9 contributions,3.0 of 5 bubbles,Roaches,"We had reservations for 2 nights, checked in after midnight went to bed and woke up to find roaches. They allowed us to refund the second night and leave. The front desk was very helpful although I felt a full refund especially the 'resort fee' would have been a better solution.",January 2023,none,none,"Thank you for your feedback shannon h.  We take any and all concerns seriously.  We had the room inspected both by my team and by a national pest control company and was unable to find any pest of any kind in the room.  Living in California, its a challenge all year around because of the weather which is why we treat our rooms quarterly and we also pay the pest control company to come out and inspect the room since they are the expert.  I'm sorry that you felt refunding you the room and tax was insufficient but based on the facts we had, we felt it was more than adequate.  I will also reply to your other social media feedback with the same info to avoid missing you.",none,none,none,none,none,none,11,13
none,1 contribution,5.0 of 5 bubbles,Holiday inn Disneyland rocks,This hotel is awesome.  Great staff. Vanessa was wonderful and Georgiana was amazing with the food. Thank you and I will be coming back. Everyone here was very professional the rooms were clean and comfortable.,January 2023,none,none,none,none,none,none,none,none,none,12,13
