Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
none,none,1.0 of 5 bubbles,Harbor Inn - Highly Advise Against Staying Here,"The booking at Days Inn Garden Grove was most dissatisfying. I had difficulty finding the location and reached out to the hotel. The representative was extremely rude on the phone indicating there was no medical center nearby and he had a customer in front of him saying, ""you need to hold on."" Essentially, the customer who had just arrived was more important than me, who was lost on the phone. Turns out, the medical complex I was in was directly next to the Days Inn (Harbor Inn) motel. Upon arrival and check in, I realized the door was broken and wouldn't shut all the way. There was also a very strong cleaning/chemical smell that was truly overpowering. It smelled like a strong carpet powder had been spread all over the room. Lastly, there was very little water pressure and the",November 2022,none,Traveled solo,none,none,none,none,none,none,none,1,257
none,1 contribution,5.0 of 5 bubbles,Very Clean Rooms,Rooms were very clean. Wide range of channels offered on the cable TV. Strong Wi-Fi signal. Friendly house keeping staff. Water pressure for the shower is a little weak. Might have a required water regulator in it. Fridge and microwave worked great. Beds were comfy.,December 2021,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,2,257
none,5 contributions,4.0 of 5 bubbles,Notice to handicap travelors.,The only problem I had with  this hotel was location of room. Located on second floor (elevator provided) with an extremely long outside walkway ( 12 doors down). Shower chair provided for use in tub. Hand held shower head provided.,November 2021,none,none,none,4.0 of 5 bubbles,none,none,none,none,none,3,257
none,1 contribution,5.0 of 5 bubbles,Amazing Fun time with family,"Thanks to everyone who made our stay great. We will definitely be back! Housekeeping was amazing, we had a small maintenance concern and it was taken care of promptly. Great people at the front desk and quality service!",November 2021,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,4,257
2 helpful votes,1 contribution,1.0 of 5 bubbles,Expected to pay more,I was told that I needed to pay more money for an upgrade.  Be sure to clarify should you find yourself in the same position.  They went as far as to tell me that I would have to check out immediately and find somewhere else to stay if I did not pay.,July 2021,none,Traveled on business,none,2.0 of 5 bubbles,none,none,none,none,none,5,257
1 helpful vote,1 contribution,3.0 of 5 bubbles,Not worth the stay,We had to unclog our own toilet and sink! The guy at the front desk did reassure me that the plungers were brand new. (Said with sarcasm). Housekeeping staff were really nice! But the girl who checked us in didn't know anything about guests being able to use the mobile check-in Wyndham app offers. And the guy at the front desk didn't even know their own wifi password and had to call me back.,July 2021,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,6,257
3 helpful votes,2 contributions,3.0 of 5 bubbles,As basic as it gets,"The hotel is pretty basic.  If you just need a bed to sleep and a bathroom to shower in, this is your place.  But the basic things that are supposed to be standard in the room didnt work properly.  The AC made the room smell like Pee and mildew when the compressor would shut off and the fan would just be blowing.   The TV color was off and the settings were unable to be changed because the remote only controled the sattelite box. There was a line going right through the middle of the screen.  It was definitely the TV because no matter what channel I was watching it was right there.  Also the fridge in the room wasn't cold enough.  I figured when i got there I would buy a few frozen things to pop in the microwave, by the next day everything was thawed out and nasty.",April 2021,none,none,none,4.0 of 5 bubbles,none,none,none,none,none,7,257
1 helpful vote,1 contribution,2.0 of 5 bubbles,Meh...,"- No Breakfast - there hasn’t been breakfast here for a year, but they don’t update their amenities and blame it on covid. - “free parking” There are only 24 spots for 45 rooms. - Pool - at the motel next door. - Business center & free newspaper - in the lobby (I suppose), that is closed (due to covid as well) - does have a little fridge & microwave - has a weird spy-camera looking thing attached under the tv.  They said it is a sensor for the remote & that I could cover it with something if I felt uncomfortable, but that the remote would not work.  I covered it, and the remote still worked. - There was a half inch gap when closing the door. - There is an elevator. - I like that they are very strict about their non-smoking policy. - It is old, but clean. - The only way you would",April 2021,none,Traveled with friends,none,none,none,none,none,none,none,8,257
1 helpful vote,1 contribution,1.0 of 5 bubbles,Dirty!,Decided to listen to the positive reviews and booked for a night. We got there and found the bed sheets stained. There was stains on the white towels in the bathroom. And I found a hair ball folded up in one of the towels. The bed sheets were thin and ripped. The walls were stained. During covid this is not something you’d like to see on a trip. Only booked because of closeness to Downtown Disney. Would not book again. Just happy the workers were nice and didn’t make things more difficult.,April 2021,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,9,257
2 helpful votes,1 contribution,1.0 of 5 bubbles,“Nick” treats customers like garbage,"I booked this stay because the location is good and convenient but the management treats people like garbage. Do no stay here   “Nick” is disrespectful, takes personal phone calls instead of speaking with you. If you call him he will hang up on you if you have any questions, and will not tell you his full/real name.   He called me dumb for not checking my reservation type, and said the cheap price is the reason you get service like this.   I called corporate and they said they have no control over reporting resort staff. I told them they should change that policy, because he’s taking advantage of their system and the guests.",April 2021,none,Traveled as a couple,none,none,none,none,none,none,none,10,257
