Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
40 helpful votes,62 contributions,3.0 of 5 bubbles,an extended stay that served our needs -- just needs a bit more attention to detail,"We're locals, hoteling it due to some extensive home repairs.  The upside of this property is its central  location  (close to airport, freeways, UCI, the beach, two major shopping malls, grocery stores and great restaurants within a short 5-8 min drive). They have 2 br 2 ba rooms with full kitchen, which is what we chose.  It is dog friendly and parking is easy. The lobby is spacious with plenty of seating for eating or lounging -- they managed to get the often non-working fireplace working while we were there, which was nice as it's been a cold wet winter here in SoCal. Decent coffee service and breakfast in the mornings.  Heated outdoor pool and spa and quite nice landscaping. The room served our needs -- the linens were clean, beds ok, (some pillows past their prime), the",January 2023,Limited number of 2 bd/2ba rooms,none,"I recognize your time is valuable and appreciate the feedback you have taken the time to provide.  Maintaining a clean and well-maintained atmosphere within our guest rooms and common areas is important and I apologize that we did not fulfill that expectation during your visit. Your experience has been shared with our housekeeping and engineering leaders to ensure this is an isolated incident.  My hope is the next time you are in the area, you will give us another chance to provide the guest experience we strive to deliver.",none,none,none,none,none,none,1,363
254 helpful votes,563 contributions,4.0 of 5 bubbles,Breakfast Needs Improvement!,"This was my first visit to the hotel; others with me had stayed here in the past and felt it has gone downhill following Covid.  The breakfast in particular is currently pretty marginal, especially for a Marriott.  There was no waffle machine, very little in the way of fruit, terrible hot options (I didn't have one but the burritos were not at all good according to my family).  They have one two-slot toaster, which is ridiculous.  I think all hotels should have the rotating toasters so several guests can be served at once.  It's a long wait for toast when only one person can be served at a time.  Our room was great since we were upgraded to a two bedroom suite; there were four of us so two bedrooms and two baths made for a much more comfortable stay.  The bathroom I used had",July 2022,none,none,none,none,none,none,none,none,none,2,363
3 helpful votes,1 contribution,2.0 of 5 bubbles,Kitchen Staff.,"The stay-cation was nice, most of the staff were also very kind and helpful. Whether it was replacing keys or towels.    On another note,  I was pestered by the kitchen staff about my service animal being by my side.  In particular,  one of the women gave me dirty looks and talked to the other kitchen staff in Spanish about the ordeal.  As soon as I come in the morning she whispers to her associates.  Note: She asked me a first time in a rude manner, causing me emotional distress.  My dog  did not eat the food on the ground, or bother any guests the whole stay, I am very disappointed with the way I’ve been treated.",May 2022,none,Traveled with family,Thank you for taking your time to review your recent stay with us. We are disappointed to hear that you had challenges with our team in regards to animals in the breakfast area. Our policy is to only allow service animals in the breakfast area and we will be sure to update our team here as to better address these inquiries with our guests. Thank you and we are looking forward to your next visit with us here in Irvine.,none,none,none,none,none,none,3,363
23 helpful votes,50 contributions,2.0 of 5 bubbles,"ONE tiny, tiny, tiny, tiny, tiny, tiny bar of SOAP","PROS:  1) Wonderful, world-class staff 2) Excellent beds 3) Perfect air con/heater 4) Very quiet 5) Good parking  CONS  1) ONE tiny, tiny, tiny, tiny, tiny, tiny, tiny, tiny, tiny, tiny, tiny, tiny, tiny, tiny, bar of soap.  I'm not sure why Marriott has this love affair with Paul Mitchell products other than that they actually secretly own this company.   One tiny bar of soap does not cut it. It made a wonderful stay into a horrible one. How? How can Motel 6 have a larger bar of soap than Residence Inn?  The CEO of Marriott should be seriously fired for allowing this to happen. It's that serious. NO GUEST should be subjected to a small bar of soap that lasts exactly one night.",April 2022,none,none,"Thank you for taking your time to review your recent stay with us! We are delighted to hear that you enjoyed our staff, beds, air conditioner and quiet hotel :)  Please accept our apologies for the size of the soap bar in your room, we do provide additional bars of soap at anytime if you need one (or a few) and there is a bulk body wash located in the shower.  We look forward to your next visit with us here in Irvine",none,none,none,none,none,none,4,363
7 helpful votes,58 contributions,4.0 of 5 bubbles,Clean room & bedding w/ steam-filled shower!,"The hotel, room, & most importantly the bedding & towels are all clean and provided a much sought-after relief after two previous hotels on the same trip that ultimately weren't as clean as we had hoped. The front desk staff are highly courteous and they seemed to have a great logging system for each guest and their room number. They offer complimentary parking which was appreciated. Being located close to so many restaurants and grocery stores is also amazing and we drove less than a mile to the Il Fornaio Italian restaurant last night while we were at the hotel for a night and it was indeed a fantastic experience! The hotel is also quite close enough to the flagship location of the French cafe called Moulin in Newport Beach (Bristol St) which was one of the top culinary",April 2022,none,none,none,5.0 of 5 bubbles,none,none,none,none,none,5,363
45 helpful votes,48 contributions,5.0 of 5 bubbles,Great staff and hotel stay,"My son and daughter in law are there for over a month so I went and stayed about 3 weeks.  Everything was great!!  Free breakfast in the morning was good.  Staff was excellent.  Room was very spacious.  They had a bedroom and I slept on the pull out couch.  It is what it is but it was ok.  Housekeeping came when asked and provided towels and items as they were needed.  The only thing was the laundry room only took quarters where some newer hotels you could use your credit card for the washers and dryers.  The pool was nice, the grounds were beautiful and kept up great.  I worked while I was there and the Wi-Fi was excellent the whole time.  Plenty of parking and close to lots of restaurants and stores.  15 minutes to the beach.  Great place to stay - I would definitely stay if",March 2022,rooms on front side of hotel get LOTS of afternoon sun.  Rooms on back side look over pool and...,none,none,none,none,none,none,none,none,6,363
132 helpful votes,674 contributions,2.0 of 5 bubbles,Random Splatter on Walls and Handles,"You know those hotel stays when you’re AFRAID to touch anything in the room? Well, this was one of those times. SUPER disappointing considering we frequent the Residence Inn in Henderson, NV and absolutely LOVE that hotel. Admittedly, the Irvine location is clearly older, I just don’t feel any guest should feel UNCOMFORTABLE touching anything in their own room. There was random splatter on the walls, cabinets, light fixtures, all throughout the room. I’ve never been so thankful to travel with Clorox wipes! And I am not the type of person that freaks out and overanalyzes how clean the sheets, towels, etc are. The cleanliness alone is A HUGE factor in determining whether or not we will return when we visit again  Overall, it’s a good location with SOME food walking distance or a",November 2021,none,Traveled as a couple,"I recognize your time is valuable and appreciate the feedback you have taken the time to provide.  Maintaining a clean atmosphere within our guest rooms and common areas is important and I apologize that we did not fulfill that expectation during your visit. Your experience has been shared with our housekeeping leaders to ensure this is an isolated incident.  My hope is the next time you are in the area, you will give us another chance to provide the guest experience we strive to deliver.",none,none,none,none,none,none,7,363
446 helpful votes,833 contributions,4.0 of 5 bubbles,"Stayed 4 night, I like this hotel","I stayed 4 nights on business and I like this hotel.  first of all, I got a  suite.  It was reasonably clean.  There is a kitchen that I can cook.  I bought steak and shrimp at a close by store 2 blocks away.  Breakfast was decent.  I do miss the evening happy hour.  Please bring it back.",September 2021,none,Traveled on business,none,5.0 of 5 bubbles,none,none,none,none,none,8,363
105 helpful votes,249 contributions,4.0 of 5 bubbles,Good for an Extended Stay,"Hotel is convenient to UCI and Irvine and 5 minutes from SNA airport. There is free parking and daily breakfast. Rooms come with a kitchenette & separate bedroom. Housekeeping service is by request. Rooms have a full-size refrigerator/freezer, two burner stovetop, microwave, toaster, dishwasher. There is a large gas grill on the patio by the pool deck. Kitchens are furnished with a modicum of utensils. There are 3-4 place settings and some serving utensils. Several pot/pans are provided. Some rooms have cutting boards and larger pans. There doesn’t seem to be a standard set of equipment. Our stovetop burners were a little wonky – not level & either barely warm or red-hot. The room was mostly clean, with several exceptions. The AC intake was very dusty, as were the cross pieces",August 2021,"The West side facing the apartments, seems to be the best location.",none,none,none,none,none,none,none,none,9,363
121 helpful votes,130 contributions,5.0 of 5 bubbles,Superb Customer Service and Location,"I am giving a 5-star rating to this hotel because of its its superb team of staff and the convenient location.  We recently stayed in a two-bedroom suite for two weeks.  The help we received from the hotel staff made our trip successful and pleasant.   I must name two of the employees who went the extra mile to help.  The first one was Cody Emerson.  One day I tried to print a document using the public computer and printer, the printer got jammed  I asked Cody for help and he showed great patience and dexterity to remove the jammed paper to make sure it worked.  I was grateful for what he did.  Another employee I appreciate is Ngan Le.  When I tried to print another doc, the computer in the lobby was down. After a failed attempt to restart, Ngan asked me to send it to her email",July 2021,none,none,none,none,none,none,none,none,none,10,363
