Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
212 helpful votes,173 contributions,4.0 of 5 bubbles,"Gorgeous Grounds, Wonderfully Quiet","Grounds are gorgeous, rooms are spacious, but could use some updating in places.  Service is excellent, including the shuttle to nearby restaurants.  We’re not golfers, but totally enjoyed the resort and how quiet it was.",February 2023,none,Traveled as a couple,none,none,none,none,none,none,none,1,93
none,1 contribution,5.0 of 5 bubbles,Relaxing,"The ambiance was not only beautiful, but the staff were all very attentive and they all smiled and greeted us during our stay. The pool was amazing, and we will definitely return soon to enjoy another weekend here.",February 2023,none,Traveled as a couple,"Looks like we are your first ever review.  Thank you for recognizing the amazing team that I work with every day (as well as our Coliseum pool).    Glad to hear that you will be returning. Sincerely, Gerard Widder Managing Director",none,none,none,none,none,none,2,93
1 helpful vote,1 contribution,5.0 of 5 bubbles,Exceptional Resort,"Excellent Resort. The property is extremely beautiful with magnificent views and world class golf, pool and spa. The staff is extremely polite professional and attentive to all of your needs and requests. The vast spaces make one feel like they are the only guests. The resort makes one feel like royalty.",February 2023,none,Traveled as a couple,"Raminy,  Thank you for making the long trip from Irvine!  Kidding of course.  Sounds like a nice little staycation.  We made you feel like royalty?  Mission accomplished!  Sincerely, Gerard Widder Managing Director",none,none,none,none,none,none,3,93
none,1 contribution,5.0 of 5 bubbles,Pelican Hill is Magical,"Our stay at Pelican Hill was magical.  The views from everywhere on property, as well as our Villa, were Breathtaking. The staff throughout our stay were so friendly, welcoming and helpful.   Wonderful in-room dining experience. The service and food at the Coliseum Pool and Grill was excellent.  We can’t wait to visit the Resort again!!!",February 2023,none,Traveled with friends,"You'll hear us refer to Pelican Hill as ""a place like no other"" and it sounds as if you concur.  Staying in one of our Villas is really elevates the experience and it's nice to see that you ventured to the Coliseum Pool and Grill for some more incredible views.  We can't wait for your return visit either.  Thank you, Gerard Widder Managing Director",none,none,none,none,none,none,4,93
none,1 contribution,5.0 of 5 bubbles,10 STAR Experience,"10 Star Experience.  I felt pampered and special every moment of the stay beginning even before we arrived by being sent a survey of our preferences, then greeted at our car on arrival, wonderful check-in process, breath-taking ocean and golf course view, chocolate covered strawberries in our room with a personalized birthday note, comfortable bed, grounds were spectacular, and fantastic housekeeping and turn down service.  Every employee went out of their way to make our stay the very BEST.",February 2023,none,Traveled with family,"Happy Birthday, Birthday Girl!!  Wow.  What a wonderful headline to read.  The team strives each and every day to recognize what we describe as ""Moments that Matter.""  I'm thrilled that we were able demonstrate that to you. Thank you for the review.  Gerard Widder Managing Director",none,none,none,none,none,none,5,93
124 helpful votes,232 contributions,5.0 of 5 bubbles,Possibly the best hotel in America - like being in Maui,"My wife and I  travel a lot - all over the world, and we both agree that The Resort At Pelican Hill is a 6 star hotel on a 1-5 rating. The Villa/Suites are top notch with beautiful views. The staff is highly trained to tend to the guests and they anticipate my needs before I am even aware. We find Pelican to be just as nice as the nicest hotel in Maui - and the view is the same. Great gym, great food, great pool! Room service was  prompt and the food was warm and fresh.",February 2023,none,none,"Thank you for such a favorable rating Shep!  We appreciate the recognition very much.  Hope you experienced a spectacular sunset or two while you were here as well.  Think about all the travel time we save you flying to California instead of Maui!  We look forward to seeing you again soon.  Sincerely, Gerard Widder Managing Director",none,none,none,none,none,none,6,93
1 helpful vote,none,5.0 of 5 bubbles,Best experience ever,The service was amazing. They really go out of their way to ensure every detail is done to perfection. The beds are incredible and even the coffee maker grinds the beans before the brew. I love that. They have an incredible circular pool with an incredible spa second to none.,February 2023,none,Traveled as a couple,"We agree that it's all in the ""details"" and I appreciate you recognizing this incredible team of professionals.  Thank you, Gerard Widder Managing Director",5.0 of 5 bubbles,none,none,none,none,none,7,93
none,none,5.0 of 5 bubbles,A WHOLE OTHER LEVEL...,"I'm still smiling from my weekend at Pelican Hill.  I'm a San Diego resident and had driven by Pelican Hill on Newport Coast hundreds of times.  I saw the name on the sign but had never been before.  Having been invited to a weekend business seminar, I had the chance to finally visit.    What immediately struck me was the stunning location up the hill from the Pacific Ocean.  The views are incredible.  But, as I drove into the property the next thing that struck me was the resort itself, the Italian architecture, the manicured lawns and landscaping, and the relaxed use of space.    Then, however, things accelerated even further.  What stuck out to me was the absolute flawless and consistent interaction and service I received from every single employee.  We all expect luxury",January 2023,none,Traveled on business,"I've read this review multiple times in an attempt to formulate an appropriate response.  Most simply, THANK YOU!  It's such a joy to receive feedback such as this.  It takes a village to curate such thoughtful, anticipatory service and the team here is stellar.  I like to think we're a humble group, but it's so rewarding to have discerning guests appreciate the team's flawless delivery of our service standards.  Pelican Hill truly is a gem and we're delighted that you FINALLY made that turn up our front drive.  Sincerely, Gerard Widder Managing Director",none,none,none,none,none,none,8,93
none,none,5.0 of 5 bubbles,Would come back again,Excellent experience for my family. Beautiful setting and wonderful service. Rented a four bedroom Villa. Food was excellent. Management excellent. Coliseum pool was a hit with grandkids. Easy access and short walk to beaches.,December 2022,none,Traveled with family,"Glad the family enjoyed making memories here at Pelican Hill and our Coliseum Pool-  the largest installation of a glass tile pool that we're aware of in the world.  We'll await your return.  Sincerely, Gerard Widder and team The Resort at Pelican Hill",none,none,none,none,none,none,9,93
44 helpful votes,41 contributions,5.0 of 5 bubbles,First-class stay at a first-class resort.,"This resort is truly special. It is first-class all the way, from the bungalow appointments to the grounds to the lobby/sitting areas. And the service was fantastic. The Mediterranean architecture is gorgeous as are the vistas of the Pacific Ocean. I booked a garden-view room with guaranteed upgrade to ocean view. The patio was spacious, and I loved having a fireplace.  Having said all that, I did run into a problem with street noise. While I requested a quiet location, I was placed in a bungalow located at the base of a hill overlooking a main road, which seemed to be a favorite location for folks to rev their high-horsepower engines. When I informed the front desk of the issue the next day, I was relocated to a quieter room. They were very pleasant and apologetic for the",November 2022,none,Traveled solo,"Thank you for the feedback Weezie and thank you for giving us an opportunity to relocate you to a another beautiful bungalow.  First time I'm hearing about an electric shock to headphones on our treadmills but we will certainly look into!  Glad to hear that you'll return.  In the interim, Happy New Year!  Gerard Widder Managing Director The Resort at Pelican Hill",3.0 of 5 bubbles,none,none,none,none,none,10,93
