Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
6 helpful votes,11 contributions,4.0 of 5 bubbles,Great place,"They remodeled. All our requests for extra towels, pillows, and spices were properly made. Check-in was easy, we pulled up to the valet, and there was someone there to check us in from our car. Happy hour was great from 4 to 7. We will return again.",October 2022,none,Traveled with family,"Thank you for sharing your review. We are so happy to hear you had a great stay with us! We love when our guests have a great time on vacation, and we hope to see you on the next one.",none,none,none,none,none,none,1,369
30 helpful votes,53 contributions,4.0 of 5 bubbles,Great Location,"Nice stay, rooms were clean and comfortable.  We had a 1 bedroom with a living room, kitchen and small balcony.  Not too far from Disney, it's walkable or you can go right across the street to the Toy Story parking lot and shuttle in for free.  They are completely renovating the pool area so it was closed down.  This was a little bit of a downside but we knew this going in so I can't be too upset.  One star taken off due to the high pressure to attend a presentation.  We have owned for almost 10 years and don't know why they still push this, I don't mind being offered to go but once I say no that should be it.  After about 10 mintues of repeatedly telling the lady no I just started walking away and told her I was done.  She finally got the picture then proceeded to tell me all",September 2022,none,Traveled as a couple,"We’re sorry to learn that our current renovations impacted your stay. While they are a necessary part of ensuring our guests have the best possible experience for years to come, it is never our intention to disrupt current vacationers. We will make sure to pass your feedback regarding this and your sales presentation experience along to resort management so we may continue to improve our guests experiences. Thank you for your feedback and we hope to welcome you back during your next visit to the area.",none,none,none,none,none,none,2,369
19 helpful votes,15 contributions,3.0 of 5 bubbles,Ok first time visit,"We recently stayed at the Worldmark Anaheim for 6 nights.  There were 4 of us, including my elderly mother, who is a Worldmark owner.  Our experience was mostly positive - the front desk staff was very nice and helpful, as was the valet.  We had pre-ordered groceries and the front desk held them for us, and a nice young man brought all of our luggage and groceries up to our room for us after a lengthy check in process.    The check in part is smooth, the worst part is the upselling with the timeshare that you are subjected to after check in.  They immediately started badgering my mother to attend one of their sales meetings and would not take no for an answer.  She is an owner with my father, who was not with us for this trip, so they said she can't ""make any changes to their",September 2022,none,none,"Thank you for your review. We're sorry to hear of your experience with the resort sales team. It is our goal to provide timeshare information in a comfortable and enjoyable environment, and we see that wasn't the case for you. Can you please give us a call at 1-800-457-0103 so we can learn more? We look forward to connecting.",none,none,none,none,none,none,3,369
2 helpful votes,1 contribution,1.0 of 5 bubbles,AWFUL MANAGEMENT! POOR CUSTOMER SERVICE! Stay ANYWHERE but here! I wish I could give this place a ZERO!,"We reserved a room here 3 months ago. The day before check-in I added my daughters name as the guest online. She received an email confirmation of the change. Well, she went to check-in the next day, and they said the reservation was cancelled, and they were completely booked!!! Chelsea Harris, Guest Supervisor and Manager, Kimmy Appleby were absolutely NO HELP at all!! My poor daughter sat in the lobby for 45 minutes! I had to pay $1400 to get her a 2 night stay at another hotel, as it was already 10pm at night, and I didn’t want her to wander into an unsavory area. After posting in a Worldmark group, it appears that this has happened to other members too since the new website launched! Been a Worldmark owner for 20 YEARS!!! After putting my daughter in a precarious situation,",July 2022,Don’t stay here,Traveled with family,"We’re terribly sorry to learn about your cancelled reservation. While we strive to accommodate all of our guests, unfortunately sometimes we do fall short. When we do, we try to make it right. Can you please call our Owner Care team at 1-800-457-0103 so we can learn more about your experience? It is our goal to resolve this matter to your satisfaction and encourage you to update your review afterwards. We look forward to connecting.",none,none,none,none,none,none,4,369
4 helpful votes,12 contributions,4.0 of 5 bubbles,Clean and nice,"The unit was very nicely decorated, very clean and we were able to see Disneyland from our balcony. Really enjoyed the pool and the Starbucks in the lobby. Only down fall was the fact they wouldn’t let my significant other attend the timeshare meeting. When I signed up I told them he would be attending not me and they said fine, but them turned him away. But overall it was a great stay.",June 2022,none,Traveled with family,"Thank you for your review. We're happy to hear that you enjoyed your overall visit, and your feedback surrounding the sales presentation will be shared with resort management.",none,none,none,none,none,none,5,369
6 helpful votes,15 contributions,1.0 of 5 bubbles,The “concierge” liar cheater thieves…,"Thank god we didn’t pay for it, so that was the only good thing. Yes, the only good thing is we didn’t pay because it was a gift. Let me start off by saying we all know how the presentation scam works. We get it, we know where our maintenance fees etc go….. commissions to the “concierge “ these people lie and tell you the parks open at any hour that will make them get you to presentation. I get it. I would rather eat my own feces than ever sit through that crap for less money than I make an hour now. Why would anyone?! So after that lie, we cancelled because how can anyone do business with liars? Second thing the “exceed guest expectations” service from the “concierge” was to call and try again to suck blood by waking my whole family up at 7:45 to see if we wanted to lose money",March 2022,none,Traveled with family,"We're sorry to hear of your experience with the sales presentation. You are free to decline any sales presentations and forfeit the gift. If you feel the sales presentation was concerning, please give us a call at 1-800-251-8736 so we can learn more.",none,none,none,none,none,none,6,369
19 helpful votes,8 contributions,5.0 of 5 bubbles,Clean and convenient!,"This is my 3rd time coming to this hotel. Love it so much. The upgrades they did over the years looks amazing and yes there is a Starbucks in the building...HELLO!! Complete game changer. The rooms were clean and smell clean. Staff was welcoming. We love coming here. The bus to the parks is $6 per adult for all day, so worth it. The only thing is the beds are firm and I am use to soft mattress. Other then that we loved it!! We will definitely come back this will be our go to hotel to stay!! 🥰🥰🥰",February 2022,During the week are the best times to book a stay. Cheesecake Factory is one block over. If your...,Traveled with family,"Thank you for sharing your review. We are so happy to hear you had a great stay with us. We love when our guests have a great time on vacation, and we hope to see you on the next one.",none,none,none,none,none,none,7,369
49 helpful votes,49 contributions,5.0 of 5 bubbles,Fantastic Stay !!,"This is a great home base for Disneyland visit.      The updated rooms are very nice.    The parking garage is right next door.   The Starbucks & shop in the lobby are very convenient for a quick bite or snacks.     There are a number of restaurants in walking distance at Anaheim Garden walk like Cheesecake Factory & Huckleberry's.     The fireworks from Disney can be seen from the balcony.     Staff was very friendly, especially the young lady who checked us in.",November 2021,none,none,none,4.0 of 5 bubbles,none,none,none,none,none,8,369
19 helpful votes,8 contributions,5.0 of 5 bubbles,LOVE this resort 😍 Already booked to come back in 2022😘😘,Ok I must say I am loving the upgrades to the room. My mom and I came here in 2017 I do believe and it was...ok. But we booked again 2 weeks ago and we are loving Wyndham Anaheim. The room was clean. Everything was remodel and we was able to get a balcony. I have a timeshare with this resort and it's so convenient. We took the shuttle for the first time to Disneyland.  Saved our feet!!. I love that it picks you up in the front. And let's not talk about the cafe that serve Starbucks coffee...game changer!! The staff was super nice and we felt at home and safe. Did I mention Cheesecake Factory is across the street...HELLO! My kind of town 😘,October 2021,The park was super busy in October. I am sure it's because of the holidays and the fact that...,Traveled with family,"We are so glad to hear you enjoyed your stay with us at WorldMark Anaheim. We are so glad to hear you enjoy the renovations. Our team works diligently to make your stay wonderful, so we love to hear from guests such as yourself. Thank you so much for leaving your review, and we hope to see you again soon.",none,none,none,none,none,none,9,369
83 helpful votes,239 contributions,3.0 of 5 bubbles,Let's just say I wouldn't pay for it.,"Pros: Clean rooms, has the kitchen essentials, rooms were quiet, nicely decorated, coffee lovers will enjoy the Starbucks in the lobby, has a washer and dryer in the room, great for families., last but not least friendly staff. Cons: Garage seems to not be policed in regards to the specialty spots, overpriced, too far for Disneyland to walk, Art bus is always full when trying to board, elevators in the garage are SUPER slow. When we arrived our rooms were not ready so they took our belongings and stored them until they were. When we came back they had them placed in the rooms which was nice. The parking garage isn't policed that we could tell because they have 3 oversized vehicle spaces and more often then not cars that were WELL below the max height for the garage were parked",October 2021,none,none,"Thank you for leaving a review of your stay with us at WorldMark Anaheim. We are glad to hear you enjoyed the onsite amenities, and we hope to see you again soon.",3.0 of 5 bubbles,none,none,none,none,none,10,369
