Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
none,1 contribution,5.0 of 5 bubbles,"Hampton Inn, Irvine, CA",This is my go-to hotel with every business or leisure trip I take to the Orange County area.  The staff is extremely friendly and helpful.  The rooms are always completely clean and the breakfast is great!,February 2023,none,Traveled on business,none,5.0 of 5 bubbles,none,none,none,none,none,1,156
95 helpful votes,360 contributions,5.0 of 5 bubbles,Basketball Tournament,"We arrived in this hotel Friday night April around 8 pm. The hotel was absolutely sparkling clean . 24 hours coffee, tea, and chocolate milk in front of the Hotel Registration . The staff are so friendly and very approachable . Our room was very clean , a lot of plugs for cellphone or any other device . We called for towels and in less than 5 minutes , someone was knocking in our door . We absolutely love every details of the hotel . There are certainly rules to follow like curfew but will not  change the fact that this hotel has great value for money , cleanliness and staff are very efficient . I will definitely be back if I am in the area.",April 2021,none,Traveled with family,"Hello Elisaadens, we are happy to hear your stay with us was amazing and the staff went above and beyond on delivery of you requests . We hope to see you in the near future.",none,none,none,none,none,none,2,156
1 helpful vote,10 contributions,5.0 of 5 bubbles,Nice staff and great rooms!,"We arrived on Super Bowl afternoon. The man who checked us in was great, he was funny and friendly. It was nice to be treated so well. The hotel had a fun set up for the game. The room was clean and very quiet. We will be coming back next time in the area.",February 2023,none,none,It was our utmost pleasure to serve you and our team was excited preparing for Super Bowl weekend.  Thank you for your review and glad you enjoyed your stay.,5.0 of 5 bubbles,none,none,none,none,none,3,156
46 helpful votes,385 contributions,5.0 of 5 bubbles,Pet Friendly,The reason we stayed here is because it’s pet friendly. It’s close off the freeway and we traveled for soccer so close to the soccer park as well. Hilton never disappoints. The breakfast never disappoints as well. Everyone was friendly and it’s a Hilton… always great service,February 2023,none,Traveled with family,Thank you for your recent stay and 5 star review.  It's greatly appreciated. We are so happy you chose us for your stay and we look forward to your next visit.,none,none,none,none,none,none,4,156
none,10 contributions,1.0 of 5 bubbles,Do not go here,"Tried to check in yesterday this place is absolutely filthy. Hair balls on the floor, dirty stained carpet. Bad smell. No other words. Tried 2 rooms, checked the filthy pool and brown water hot tub. Run far away from this disgusting place. Really upsetting",January 2023,none,Traveled as a couple,Thank you for taking the time to share your recent experience at Hampton Inn Irvine Spectrum Lake Forest.  We sincerely appreciate your feedback and we're very sorry you were unhappy. Your feedback is important as our goal is to ensure every guest feels at home while staying with us and that our hotel is always 100% clean.  Please feel free to reach out to me at the hotel to share your concerns.  We hope you will consider staying with us in the future.,none,none,none,none,none,none,5,156
none,4 contributions,5.0 of 5 bubbles,Good location - Friendly Staff - Clean,Hotel has it all for the passing through traveler.  Location right off the 405/5.  Cleanliness.  Good breakfast.  Easy parking.  Reasonable price. Friendly staff.  Quiet. We had a room right off the elevator and didn't hear a thing all night.,December 2022,none,none,Thank you so much for a wonderful review and feedback.  Wishing you a wonderful holiday season and a fantastic new year.,5.0 of 5 bubbles,none,none,none,none,none,6,156
1 helpful vote,1 contribution,5.0 of 5 bubbles,Good to be back.,Arrived back at my favorite hotel.  I must say that it feels like home away from home. I was greated by Lisa and Loyd by name and a warm smile. Julian was extremely helpful with questions we had and notified me once he found the answer. Claire was behind the bar and friendly as ever as she made the perfect  Old Fashion. As always exceptional customer service from an exceptional staff.,December 2022,none,Traveled on business,"Tim, welcome back home! We all are so happy to have you here. Thank you for always choosing to stay with us and recognizing Lisa, Lloyd, Julian and of course Claire. Happy Holidays.",5.0 of 5 bubbles,none,none,none,none,none,7,156
7 helpful votes,14 contributions,5.0 of 5 bubbles,Must stay if you want to enjoy a place,"First of all I never walked in a hotel and be met with a  very  pleasant smell that was awesome.second I was greeted by Lloyd, next I had pleasant conversation with Nour  next day and she helped me reserve next stay. The room  was very clean and pleasant colors. Antony and the breakfast team were great too. And of course Lisa the Am was very nice and Elisha wow great team you guys having fyi. So please for all of you thank you for making me believe that we can find good place to stay.  Anyone in the hotel business go and learn from them how to be pleasant. They were amazing",November 2022,Enjoy the team kindness and willing to help with a smile,Traveled on business,"Thank you, what an amazing review and feedback. I certainly appreciate that our team went above and beyond to meet your expectations. Thank you for recognizing the team, all those who were mentioned that brought such delight in making your stay pleasant.  Do come back to visit us again soon.",5.0 of 5 bubbles,none,none,none,none,none,8,156
none,1 contribution,5.0 of 5 bubbles,Great location,The staff was very accommodating for our large group.  They attended to all our needs.  The facilities were very clean.  The rooms comfortable and all the staff were friendly.  The kitchen staff prepared our group with a Thanksgiving meal that was excellent!  The breakfast choices were excellent and changed each day.  No hesitation to stay here again!,November 2022,none,none,Thank you for choosing us over others.  We are happy that you and your team enjoyed your stay and that we were able to provide a Thanksgiving meal to your liking. We hope to see you and your team again.,5.0 of 5 bubbles,none,none,none,none,none,9,156
1 helpful vote,2 contributions,5.0 of 5 bubbles,A+ service and facility,"Great 6 day stay! Very clean rooms and comfortable bed, pillows and duvet. 24 hr coffee/tea service. Excellent conference room and fitness room (2 peletons, large weight rack etc…), convenient access to freeway. A+ service from front desk, housekeeping, and restaurant",November 2022,none,none,"Great feedback, thank you so much. I am happy that our team was able to provide A+ service that went above and beyond your expectation.  Thank you.",5.0 of 5 bubbles,none,none,none,none,none,10,156
