Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
31 helpful votes,15 contributions,1.0 of 5 bubbles,Fox News alert,"The TV reverts to Fox News once a day, automatically. I reset the settings to another channel, but after my return at the end of the day the ""power-on channel"" was back at Faux News. It wasn't the housekeeper; I had no housekeeping.  It's not the cable service - they don't automatically shift to a far-off channel (168) like that.  It's an overt decision by the ownership to put their politics out there. For them this is more important than their business.  To me that doesn't make sense. I will honor their decision and stay elsewhere next time.  There are a lot of other basic, dated motels to choose from that don't force their ideology down your throat.",October 2019,"They have a pool, but it's closed because of ""regulations"" according to the owner.",Traveled on business,none,none,none,none,none,none,none,1,450
none,3 contributions,5.0 of 5 bubbles,Clean and quiet. Refreshing!,Maybe the most quiet night sleep i have ever had in a hotel-motel!!! Check-in was very easy and the women in office was very friendly and attentive. Room is very clean and housekeeping is excellent. Super great location! The room is no frills but comfortable.  What a pleasant surprise the Beach Inn Motel Huntington has been. I would not hesitate to stay here again. Thank you,May 2018,none,Traveled solo,none,none,none,none,none,none,none,2,450
none,16 contributions,5.0 of 5 bubbles,Kudos to the owner!,"Pretty much everything. I booked this property for my dad after reading a review that the owner is friendly and nice and I have to say that I didn't see that coming. The owner was extremely nice and make my dad feel welcome at the property. After he came back, he told me that the owner was very helpful and try to meet the request made. Also, the location of this place is the best! It was 5 mins drive to the beach and basically, this place is surrounded by iHop, Denny's, McDonald's, Walmart and Target and many more. It's very convenient :D Will be back for sure!",September 2017,none,Traveled solo,none,5.0 of 5 bubbles,none,none,none,none,none,3,450
7 helpful votes,30 contributions,3.0 of 5 bubbles,The Bare Minimum,"Taking the redeye to LAX, we arrived after midnight.  The motel was prepared for us and made the room available quickly.  I was a little taken back at the ""old"" facilities and would have left if it was earlier in the day.  But, the room was clean and we were tired.  The only modern thing in the room was the TV!  Oh, they did offer free Internet, but I did not use it. Everything looked like it was from the 60's.  No iron or hair dryer.   Because of the cleanliness, bed comfort, location, and staff attention we stayed four days. I must mention that I was visiting my sister so I was able to use her iron and I always travel with my air dryer.",September 2017,"Although the motel is on the highway, it was quiet.",Traveled with family,none,none,none,none,none,none,none,4,450
54 helpful votes,221 contributions,4.0 of 5 bubbles,Inexpensive,"Neeed a cheap place to stay for our last night in Southern California and decided to stay in Huntington Beach rather than head for LA.  Found this place but it's not exactly near the beach.  Upon check in, the lady at the desk quibbled over our BCAA membership that it wasn't AAA but finally gave us the discount anyway - and then charged us $20 cash for a key deposit.  Really? In this day and age?  Ah well.  It's right next door to an In N Out burger, which we wanted to try and not far from the freeways when we headed for LAX the next day.   Rooms were dated but clean, quiet and the Wi-fi worked well.  Not many extra outlets and a small flatscreen TV that didn't swivel or tilt bolted to the wall. The pool was closed.    If you just want to put your head down for eight hours, it's",May 2017,Near the back is quietest,Traveled as a couple,none,none,none,none,none,none,none,5,450
1 helpful vote,2 contributions,4.0 of 5 bubbles,Beach Inn Motel,"Front desk/owner very friendly and nice mannered. Clean, quite place. Close to walmart, in-and-out restaurant, habit hamburgers, jack in the box, hospital, drugstore and less than a mile to the beach.  what more do you want.",September 2016,none,Traveled with friends,none,none,none,none,none,none,none,6,450
43 helpful votes,172 contributions,4.0 of 5 bubbles,Beach Inn Motel,"Awesome Motel for the price, great location bus stop on each corner. 4mile from the beach. About 15 or 20 miles from Knotts Berry Farm lots of fast food rest. in walking distance.  also lots of fine diinning rest. too.  the motel is very clean and fresh.and Walmart behind them.",October 2015,none,none,none,none,none,none,none,none,none,7,450
3 helpful votes,7 contributions,4.0 of 5 bubbles,Beach Inn Hotel,"Very friendly staff, very clean room.  Hotel was very dated but I was looking for cheap accommodation not the Ritz so it was perfect! Huntington beach is literally a ten minute drive from the hotel!! The noise level was practically zero.",March 2016,none,Traveled solo,none,none,none,none,none,none,none,8,450
12 helpful votes,6 contributions,4.0 of 5 bubbles,Service with a smile!,"My friend and I loved this motel so much so that we stayed there twice during the course of our trip. The service is excellent, the staff are very friendly and accommodating. The rooms are spacious and clean.  It was a short drive to Huntington Beach and situated close to the freeway. There was free parking at the motel and free wifi.   Overall, I would highly recommend this hotel for someone looking for a no frills stay in Huntington Beach.",April 2015,none,Traveled with friends,none,4.0 of 5 bubbles,none,none,none,none,none,9,450
45 helpful votes,119 contributions,3.0 of 5 bubbles,Standard Motel-acceptable,We had never stayed in an Inn in the USA so had nothing to compare this against. It was acceptable with nothing to rave or complain about. Everything was a bit dated but once again you get what you paid for. Location was good as a short 2 miles or 10 minute drive to Huntington beach pier and restaurants. I would probably stay closer to the beach next time. The proprietor was avery friendly Japanese American lady who runs it with her family. There are good family chain restaurants (Ihop) and standard shops very near  the Inn. Wifi was good. Very standard danishes and coffee at reception for breakfast.,May 2015,Above ground with view of your parked car,Traveled as a couple,none,none,none,none,none,none,none,10,450
