Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
none,2 contributions,5.0 of 5 bubbles,Best motel 6,"Best motel six in all of orange county foreal. The staff is super helpful, responsive and fast This is my second review, other didn't pop up  Great place enjoy ur stay, free coffee Gas station close by.",December 2022,none,Traveled solo,"Dear Guest,  Many thanks for the stellar review. We are ecstatic to hear that your experience was excellent. It was a pleasure to host you, and we look forward to having you back many more times in the future.",none,none,none,none,none,none,1,228
413 helpful votes,1337 contributions,2.0 of 5 bubbles,One problem after another,"Check-in was a breeze: friendly and quick. They gave me what I asked for: the quietest room. So, when I started noticing problems, I decided not to ask for another room.  I've stayed at Motel 6s, so I knew that the spot next to the window usually has a table and chairs. My room didn't; it was just a big empty space. I was alone, so I didn't really need the table; I sat in the one chair along the desk at the side of the room. I went to plug in my computer, and... there was only *one* free outlet in the entire room -- except at the bathroom! (See the photo.) (Hint: I've learned to bring a long extension cord and power strip for rooms like these.) I tried to turn on the light over the desk; it didn't work. When I looked inside the fixture, the light bulb was *missing*. The light",October 2021,none,none,"Dear Guest,  Thank you for posting your feedback and for letting us know about your encounters. Please accept our apologies for the issues you faced regarding these issues. We will speak with our team to ensure that similar incidents will be prevented in the future. We hope you will give us another opportunity to provide you with a better stay.",none,none,none,none,none,none,2,228
3 helpful votes,3 contributions,1.0 of 5 bubbles,Motel 6 Santa Ana-TOTAL DISASTER.,"The first issue was we were suppose to be checked in at 3:00 p.m. Upon arrival the room was not available because it was being cleaned. After an additional hour before check in. The outside picture illustrated on the site and the room were not as pictured. The room is not cleaned nor linen changed daily. You have to ask for towels and tp. The room is a total diaster, dirty not only the furniture but also the window that is looks like been sprayed with paint  Very noisy outside and not in great area. Many homeless and you are advise they are not responsible for break-in. I remembered the old commerical where he said ""we will leave the light for you"". Please keep the damn light off. Beware and stay away from this place.",June 2021,none,Traveled as a couple,"We're sorry to hear that you didn't enjoy your stay with us, and we apologize for any inconveniences you may have experienced. We hope for the opportunity to improve your experience with us. Please visit again. Nancy Y.	 #Team6",none,none,none,none,none,none,3,228
1 helpful vote,1 contribution,5.0 of 5 bubbles,Motel 6 on Dyer & Pullman,"My stay here has proven to be quite enjoyable. Although the COVID-19 situation has caused a few inconveniences, such as no room service (one must maintain one’s own room, yet fresh towels and sheets are always available at the front desk, all one has to do is ask, brooms & such are also available if need be as well) and no pool & jacuzzi access, the time spent  here can still be jubilant and productive. Unfortunately, while there are no kitchen facilities in the rooms, there are places to eat nearby that are within walking distance. All in all, for a place to spend some quality time that does not break the bank, the Motel 6 off of Dyer & Pullman is a location that does fit the bill. All of the staff here are hardworking, yet quite friendly and professional, including Brenda and",March 2021,none,Traveled on business,none,none,none,none,none,none,none,4,228
43 helpful votes,18 contributions,4.0 of 5 bubbles,Better than we expected,This area is so expensive that we booked Motel 6 for our two night stay. Had never stayed at a motel 6 before. This is basic no frills lodging. The staff was very friendly. The rooms looked to have been freshly painted and the bathroom was clean. I liked that the floors were wood and made the room seem clean. The sheets and towels were clean and the beds comfortable. Would recommend this as a budget option. Just know there’s no toiletries except soap.,August 2019,none,Traveled with family,"Hi Cecilia,   Thank you for taking time to share your review with us. We love hearing from our guests and are happy to hear you enjoyed your stay. We hope to see you again soon.   Safe Travels.",none,none,none,none,none,none,5,228
8 helpful votes,4 contributions,2.0 of 5 bubbles,Price gouging for what it is,Booked it last minute because of a change in plans. It's a Motel 6 so wasn't expecting much but there was hair on the toilet seat and plenty of shady characters around. Bed is awful. It's not a bad place but at $160/night it was not worth it. I'd book it for $60-80 per night in a pinch. What I do like is that you can park right outside the hotel room. Slept with one eye open.,July 2019,Choose a room near the front desk for possibly better security,Traveled solo,"Hi Thor,  Thank you for taking the time to share your review.  We are committed to provide a comfortable night's rest and are disappointed to learn that we fell short of your expectations. On behalf of Motel 6, we would like to apologize that your stay was less than satisfactory.  We are committed to guest satisfaction and appreciate you taking time to review your experience.",3.0 of 5 bubbles,none,none,none,none,none,6,228
none,1 contribution,5.0 of 5 bubbles,Much improved,This location is much better with new Management. The staff seem friendly and happy to help. Rooms are clean and comfortable. Close to the freeways and local attractions. I would definitely stay here again.,October 2018,none,Traveled with friends,none,none,none,none,none,none,none,7,228
none,1 contribution,5.0 of 5 bubbles,Awesome,Best Motel 6 ever. Yadira was so helpful. Manager heather was very attentive and did her best to make me comfortable. She gave me extra towels and pillows to ensure i feel at home. Definitley worth the comeback.,October 2018,none,Traveled solo,none,none,none,none,none,none,none,8,228
16 helpful votes,13 contributions,4.0 of 5 bubbles,Vacation time,"This is a very good price for the room.  The staff are very nice and helpful, they are always polite and positive.  I like the area because you can easily get to the Asian market on Bosa. The motel is also close to Huntington beach and the other beaches.",July 2018,none,Traveled with family,none,none,none,none,none,none,none,9,228
124 helpful votes,229 contributions,2.0 of 5 bubbles,Cheap but you get what you pay for,"We stopped here as a late night pitstop and just wanted a place to lay our head. The only room left was a smoker and the room was very tired to say the least. If you have to stay it's OK, reception staff were pleasant but I would recommend giving it a miss.",August 2018,none,Traveled with family,"Dear Mark, Thank you for taking the time to share your review. We strive to provide a comfortable night's rest and are disappointed your stay was unsatisfactory due to the comfort issues you describe. We encourage you to contact our Guest Relations department at 1-855-787-9864 to record the details of your visit to help us provide a better guest experience in the future.",none,none,none,none,none,none,10,228
