Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
10 helpful votes,8 contributions,5.0 of 5 bubbles,Some of the best views in Laguna for less money!,"The views from most of the rooms are outstanding!  We had one of the best ever with full windows on 3 sides of the main room and a huge, totally private deck with full views on all sides too…beautiful all day no matter the weather and especially the sunsets!  Enjoyed watching the surfers and gazing at Catalina Island.  Outstanding staff too.  Wish we lived closer so we could visit again soon.",February 2023,none,Traveled as a couple,none,none,none,none,none,none,none,1,46
62 helpful votes,69 contributions,4.0 of 5 bubbles,Can't beat the view,"Does it need to be updated - yes.  But it's a coastal funky old hotel so just know that.  It is hard to beat the ocean view and the neighborhood.  The price was reasonable for what else is in the area.  The room had a mini fridge and microwave.  The bed was okay, but i am not picky.  There was not much for parking but they did have a valet.  The main reason I gave it 4 stars was because the location.",January 2023,none,none,none,none,none,none,none,none,none,2,46
none,1 contribution,5.0 of 5 bubbles,Perfect for us,"We enjoyed this vintage suite with unbeatable beach views and helpful, friendly staff. We enjoyed the sound of the waves in every room. Great restaurants, shops, and a grocery store are all within walking distance. It was a birthday weekend I will never forget and we will be back. We loved our stay.",November 2022,none,Traveled as a couple,none,none,none,none,none,none,none,3,46
9 helpful votes,55 contributions,1.0 of 5 bubbles,The extra charges make it not worth it,"WE have been coming here for 42 years 3-4 times a year.   Now they charge $38/night for parking , $25 a day for wifi, and no breakfast.  Had we have known this in advance we would not have come.  Plus they now allow pets and our room smells like dog urine.  This was the best kept secret of Laguna Beach for 50 years and now the new owners have ruined it.",November 2022,They charge a ridiculous amount for parking and wifi and breakfast is no longer included,Traveled as a couple,none,none,none,none,none,none,none,4,46
none,2 contributions,5.0 of 5 bubbles,Family Time,Juanita and Micaela and all the staff of Laguna Rivera were excellent…from start to finish they made a family visit amazing from chaises and umbrellas on the beach to the live guitar music at sunset! A true gem and amazing view!,September 2022,none,Traveled with family,"Whitney, We are just so pleased to read this feedback and can't thank you enough for your kind words. Family Time is the most important thing to us and we are so warmed to know we made this time special for you and yours. We look forward to hosting you again in the very near future. Thank you again!",none,none,none,none,none,none,5,46
none,1 contribution,5.0 of 5 bubbles,Great!,The rooms were clean and spacious. Close to restaurants and grocery store. Downtown is a quick free trolley ride away.  Friendly and helpful staff. Bonus beach chairs set up for us on the beach! ☀️☀️☀️,September 2022,none,Traveled with family,Thank you so much for staying with us and for providing us this wonderful feedback. It was our true pleasure to have you and we all look forward to hosting your next trip to Laguna Beach.,none,none,none,none,none,none,6,46
none,7 contributions,5.0 of 5 bubbles,Best Trip Ever!,"We decided to stay at the Laguna Rivera and it didn’t disappoint! What makes this place so wonderful is the staff and the hospitality. Diana got us checked in and made sure we were accommodated. One our favorite moments was Friday evening where the hotel host their guest to wine and music. Picture this, while watching the sunset you are listening to acoustic paired with wine and every melody gives you chills. yes, please! Michael (singer) has the most beautiful voice, he even sang “Baby Shark” for our 4yr son to which got us all dancing. Mr. John was so kind my our son❤️ Every time  we ran into him. Everything about this Friday evening was amazing! We hanged out by the beach all Saturday, we walked to restaurants/shops and took the trolley around the city for scenery and we",August 2022,none,Traveled with family,"We love this so much! Thank you once more for staying with us and taking the time to provide us kind words on our team and your experience. It is our goal that every guest leaves as happy as you all did and gives us such joy to read. Until next time, be well!",none,none,none,none,none,none,7,46
none,2 contributions,5.0 of 5 bubbles,Great Getaway!,"Really enjoyed this hotel. Has a cool California vibe to it. Staff was friendly & helpful. They give beach chairs, umbrellas, towel, even had boogie boards free to use on the beach. Beach is very clean in a very good location. Pool /Hot tub was cleaned everyday. Good size on both. You can walk to lagunas main beach within mins from the hotel beach. Grocery store, restaurants, shops, gas all in close range. Trolleys take you where you need to be in summer. There is a stop right in front of the hotel. Last but not least the valet parking is super convenient. Ethan & Daiki were true professionals, super courteous, polite, had awesome attitudes, and very attentive. They made us feel safe leaving our car at laguna Rivera. Was a great place to get away for the day to day!",August 2022,none,Traveled as a couple,none,none,none,none,none,none,none,8,46
none,4 contributions,4.0 of 5 bubbles,"The people are the real win here. The hotel location is great, but the people are betterr","Juanita at the desk has been unbelievable! Always pleasant, patient and super responsive. I have stayed at many 5 star resorts that don't have front desk people of her caliber. The Valets are also very spot on. I am currently staying at the Riviera, and the hotel location is perfect. The hotel needs a bit of love.",July 2022,none,none,"Thank you so much for the wonderful feedback, and for spotlighting our dear Juanita! We look forward to hosting you again.",none,none,none,none,none,none,9,46
1 helpful vote,1 contribution,1.0 of 5 bubbles,"Used to be Great, Now an Overpriced DUMP!","For years, my family loved coming here. Nothing fancy, just clean, comfortable rooms with spectacular views, complimentary breakfast bags, and free parking.   Hah! Just arrived after 3 years away, to find none of that. No breakfast, $38/day parking, tap water from such filthy pipes that it reeked of rotten eggs, an unspeakable shower, and a deck furnished with the most uncomfortable chairs and no umbrellas to shield you from the sun. We all know it’s getting hotter, even by the beach. Do the rooms come with ceiling fans? No. They provide you with a small fan “tower” that only cools the person directly in front of it.  We used to love it. Never again.",July 2022,none,Traveled as a couple,"Robin, On behalf of our team, I am very disheartened to hear of your unpleasant experience. The Laguna Riviera signifies 75 years of tradition of warmth and compassionate service. We are doing our best to transition poorly executed aspects such as the breakfast of the past to a professionally executed, service focused experience. We thank you very much for your business this trip, and we wish you well for the future.",none,none,none,none,none,none,10,46
