Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
none,1 contribution,5.0 of 5 bubbles,Perfect humble host-,"Hi, I stayed at Holiday Inn on a business trip for about a week. The rooms were cleaned and quite. I was particularly impressed with the staff. They are always happy to help.  I would give 5 start to Frank, General Manager for his friendly and welcoming nature.  I initially booked the hotel for 3 days but the way he treated his guests is so warm and humble.  He upgraded my room with a better rates on comparing with other website.  I would strongly recommend to speak at reception if you are looking to extend your stay as sometimes manager can give you a better deal or can upgrade without any additional charge.",January 2023,none,Traveled on business,"Hi attig2016,   Thank you for giving us the opportunity to recognize our staff for their exemplary work in providing a clean and comfortable experience for our valued guests. Our staff is highly trained to give you an exceptional experience, and we are very pleased to learn that we achieved this goal during your recent stay. We only wish to give nothing but the best service to our guests and to know that we have accomplished such a goal gives us great joy.",none,none,none,none,none,none,1,214
none,2 contributions,5.0 of 5 bubbles,Ms Julie Gauger,"I can't express enough what incredible hospitality this hotel has. On the night we all were there, they were having a luau that was spectacular! The food was Amazing and the drinks were off the chart, Fabulous! Mostly, I was so impressed with your hotel staff!  Suzie and Annette were so lovely, warm and welcoming that it made us feel like visiting an old friend. They made the whole place shine. Let us not forget Frank who brought his own snow cone and cotton candy maker in for the kids who walked away with the biggest smiles on their faces. Great job everyone. We will not only be back but will tell our friends and family!!! Thank you X's a million.",July 2022,none,Traveled with family,"Hi jagsgauget,   Thank you for giving us the opportunity to recognize our staff for their exemplary work in providing a clean and comfortable experience for our valued guests. Our staff is highly trained to give you an exceptional experience, and we are very pleased to learn that we achieved this goal during your recent stay. We only wish to give nothing but the best service to our guests, and to know that we have accomplished such goal gives us great joy.   We will share you awesome review to our staff especially with  Suzie and Annette. We look forward to your next visit.",none,none,none,none,none,none,2,214
none,1 contribution,5.0 of 5 bubbles,Early Check In Provided,"I was here in town for business travel and I highly recommend this hotel. With that being said, the hotel was very well maintained and clean. The staff were extremely friendly and helpful with what I needed to do and recommended me great places to eat very near the hotel. I believe the person that checked me in, in the morning was named Josh. He went straight into it and got me nice and quiet room on the third floor. The room was the perfect temperature when I entered and the bed was extremely comfortable. I was extremely tired from my flight and got the rest I needed. The location is less than 10 minutes away and with the amount of uber drivers in the area, I was able to get to the airport in time. I did notice they had a sign with zero tolerance for marijuana and I appreciated",February 2023,none,Traveled solo,"HI jacqueesd2023,    I can't begin to tell you how much we enjoyed reading this review and thank you for leaving your five-star rating of our hotel. It is very rewarding to hear your perspective of our hotel and we appreciate that you have acknowledged our efforts to provide a clean, comfortable, and hospitable experience. Our management is always happy to serve you. We will share you kind words to our staff especially with Josh and we can't wait to see you again!",5.0 of 5 bubbles,none,none,none,none,none,3,214
none,1 contribution,5.0 of 5 bubbles,Best place to stay with kind wonderful helpful staff. Very clean and super affordable.,"From the moment I walked in, I was greeted with a kind person named Zenaida. She was super helpful and I had been through a traumatic event just moments before coming to the hotel. She really made me feel taken care of and made the check in process fast and easy for me. As I had a long journey prior to check in. I would definitely recommend Holiday Inn to anyone, my friends and family. A wonderful place to stay. Helpful kind friendly staff, super clean and price is very affordable.",January 2023,all the rooms are clean and neatly decorated.,none,"Dear M6128MBjessicat,   We are exceptionally thankful that you have honored our staff members with praiseworthy words. We sincerely appreciate your feedback and are happy to hear you had a great experience with us. We will always ensure that we keep delighting you with our facilities and services. We seek to give each guest a very comfortable and accommodating experience and we are thrilled to hear of our success in this ambition. We will share you kind words with our staff especially Zenaida.   Your business and your recommendation is very important to us and we look forward to serving you again here at the Holiday Inn Santa ANA-Orange Co. Arpt, an IHG Hotel.",none,none,none,none,none,none,4,214
none,none,5.0 of 5 bubbles,Great Hotel For Leisure,"I was in town to visit my family, and I was looking for a hotel near my family and to the airport and it lead me to this hotel, I was lucky enough with the help of Josh at the front desk for an early check in, it was a great check in, very fast and easy, he was working alone and I felt bad due to how busy it was, but he made sure that the room that was given to us was meeting our standards in terms of cleanliness and it certainly did, the room was spacious and was definitely worth it for the price. I will certainly be back at this hotel in the future, I was very happy and pleased with my stay.",January 2023,none,Traveled as a couple,"Hi tuskiin,   A big thank you for leaving your five star rating of our hotel. We are glad that our services, hospitality, and accommodations exceeded your expectations and hope that you experience the same comfortable stay during your next visit! We will share your comments with our staff especially Josh. We look forward to seeing you again.",5.0 of 5 bubbles,none,none,none,none,none,5,214
none,1 contribution,5.0 of 5 bubbles,Above and Beyond Staff,"When I arrived at the hotel, the lobby was filled with guests and maybe that is because I went on a weekend, I was first greeted by Jimmy and Frank at the hotel, and they were very welcoming, even with all the guests in the hotel, the check in process was fairly quick and even upgraded my room free of charge. When checking in they usually give a welcome bag with chips and water, which I appreciated, considering some hotels don't do that, and what surprised me the most is that their food and beverage prices were not really expensive for a hotel. when I got to my room I was pleased with how nice the room was for how budget friendly it was. I was told all the rooms were newly rennovated and it was great experience.  I was unsure at first about my room facing the freeway but it was",January 2023,"Whatever you need, they will try their best to help",none,"Dear ninersfanfromoc,   A big thank you for leaving your five star rating of our hotel. Our staff is highly trained to give you an exceptional experience, and we are very pleased to learn that we achieved this goal during your recent stay. We only wish to give nothing but the best service to our guests and to know that we have accomplished such a goal gives us great joy.   We will share your comments with our staff especially Jimmy, Frank, Tany and Gabriel. Your business and your recommendation is very important to us and we look forward to serving you again here at the Holiday Inn Santa ANA-Orange Co. Arpt, an IHG Hotel.",none,none,none,none,none,none,6,214
none,none,5.0 of 5 bubbles,Home away from home,We love coming to this hotel specifically when we come into town. It’s about 10 min from John Wayne Aiport and so central to a lot of great shopping and eats. The staff is the best and so accommodating—shoutout to Frank! The hotel itself is stylish and the rooms are comfortable and modern. We also love the gym here. It’s the best gym setup we’ve seen for a hotel like this. We really couldn’t recommend it enough!,January 2023,none,Traveled as a couple,"Hi 09250VLkimberlyl,   Thank you so much for your kind words. I’m so pleased that you found us a clean and pleasant place to stay and that our location and hospitality were to your liking. Our staff is highly trained to give you an exceptional experience, and we are very pleased to learn that we achieved this goal during your recent stay. We only wish to give nothing but the best service to our guests and to know that we have accomplished such a goal gives us great joy.   We will share your comments with our staff especially Frank. We look forward to seeing you again.",5.0 of 5 bubbles,none,none,none,none,none,7,214
none,1 contribution,5.0 of 5 bubbles,Best Experience,Upon arriving they greeted us and we felt very welcomed. From start to finish we were treated like royalty. I've never experienced this before and we will definitely come back to this hotel again. Highly recommend.,February 2022,none,Traveled with family,"Hi Antoniowithabeard,   Thank you for taking the time to complete our guest satisfaction survey and for rating our hotel so highly!   I can't begin to express how much it means to our management and staff to hear from guests like yourself who have found our accommodations and services to be so welcoming.  We greatly appreciate the time you've taken to rate our hotel and we look forward to your next visit.",none,none,none,none,none,none,8,214
none,none,5.0 of 5 bubbles,Extraordinary service,"Stayed over the weekend here with  my friends. Bob did an excellent job, overall  great attitude and amazing  costumer service!  Made our stay very easy and comfortable. Absolutely will return again!!",January 2023,none,Traveled with friends,"Hi sanazb2023,  A big thank you for leaving your five star rating of our hotel. We are glad that our services, hospitality, and accommodations exceeded your expectations and hope that you experience the same comfortable stay during your next visit! We will share your comments with our staff especially Bob. We look forward to seeing you again.",none,none,none,none,none,none,9,214
none,26 contributions,4.0 of 5 bubbles,"Great rooms, so-so breakfast and guests","The hotel looks old on outside, but inside is a different story. The room was very nicely done and good. For some reason there were loud guests possibly PARTYING at this hotel, probably because of ballroom events. Breakfast is not that great for $15; I got crappy scrambled eggs, not crispy potatoes, sausage, and gummy waffles...not even a fresh pastry or biscuits or french toast for that cost.  Front desk person wasn't the best attitude and  didn't give a quiet room, quite the opposite!",November 2022,not near elevator,Traveled on business,"Hi billsafan13031,   Thank you very much for your great review of our hotel! We appreciate your compliments and we take high pride in the peaceful ambiance that we can provide to our guests. We hope to see you stay with us more in the future as we promise to push our services better to provide you the most pleasant stay that you can find. We have shared your feedback with our staff to ensure we continuously work on bettering our services. We will do our best to make sure your next stay with us is completely satisfactory. We look forward to hosting you again in the future!",none,none,none,none,none,none,10,214
