Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
1 helpful vote,7 contributions,1.0 of 5 bubbles,Very Dirty,"Not worth the money that I paid for. If they’re going to charge so much for a room the least they can do is buy some cleaning supplies to clean up this place. Staff is very friendly, but the rooms and restrooms are disgusting and smell weird.There’s stains on the walls restroom curtains are really dirty furniture is super old. NOT what it looks like on pictures, and we were supposed to get a “Deluxe” room. The bed sheets had holes. I’m glad I brought my own blankets from home. The walls throughout the room were disgustingly dirty. The fridge and microwave are inside the bathroom also had an odd smell to it. Do not recommend this place at all. If you’re looking for something around $140 look for another place. I’m sorry but this place was a regret 100% specially if you’re",January 2019,none,Traveled with family,none,none,none,none,none,none,none,1,401
2 helpful votes,6 contributions,4.0 of 5 bubbles,A Gem in Sleepy Seal Beach,"The Pacific Inn may have long ago lost its ""new car smell,"" but this quaint property does not fail to impress.  The front desk team called days in advance to ensure that arrival needs were met-- and they were.  The small hotel, a block of off the quiet section of the PCH, boasted amenities like a private shuttle, pool, work out area, breakfast, covered on-site free parking-- and most importantly an easy walk to groceries, dining and Seal Beach's Main Street and beach.  The Admiral's Suite was spacious with a living room, equipped wet bar/ kitchen, bedroom and large bath area. (Modest folks will notice the lack of a door between the bath area and the bedroom. However, the commode area had some privacy.) The room had a huge wrap-around balcony for the common area and a private",March 2018,none,Traveled with family,none,none,none,none,none,none,none,2,401
1 helpful vote,5 contributions,4.0 of 5 bubbles,STAYED HERE TWICE NOW,"Older, but always clean!  They have new beds, and I slept like a dream!  I love having a little fridge, freezer and microwave.  This was perfect both times (and I'm using them again in a few months) b/c I don't live in the room, I just want to sleep, and shower.   NEVER have had noises too loud and I've always felt safe!  Minutes from everywhere I want to go too.  Close to several freeways.",December 2017,"Quiet, clean, comfortable bed, close to freeways, fridge & microwave.",Traveled solo,none,none,none,none,none,none,none,3,401
2 helpful votes,6 contributions,4.0 of 5 bubbles,Perfect for convenient overnight stay,"We stayed here 1 night after dropping off our rental car. The hotel shuttle quickly picked us up and delivered us to the hotel. We were exhausted and had colds, and they let us check in at noon and sleep. The unit was small but clean and bed was comfortable. They have free 24 hr airport shuttle service with congenial drivers. We drove 0.8 mi to the old time Tiki Bar for a good dinner. This is not luxury, but totally adequate, clean and inexpensive.",October 2017,none,Traveled with family,none,none,none,none,none,none,none,4,401
16 helpful votes,38 contributions,4.0 of 5 bubbles,Not a Bad Place if your on a budget,"Friendly staff, the house keepers were friendly as well. The room was nice and tidy, bed comfortable and there was a mini fridge and microwave to use. Its a decent hike to Disneyland, but close to super markets, wall mart etc... Overall not a bad little place. I can be a little hard to spot as it is tucked in between other motels with bigger signs.",April 2017,none,Traveled with family,none,none,none,none,none,none,none,5,401
20 helpful votes,61 contributions,2.0 of 5 bubbles,Dirty but cheap,"We had difficulty finding this motel. It is closer to Knott's Berry Farm over Disneyland.  The check in lobby smelled of urine.  The hotel does not have a lift of any sort for the second floor, therefore consider this if climbing stairs is an issue.  They did move us to a lower level room for the rest of our stay after the first night. The room did have a microwave and mini fridge in each room.  The beds were not the most comfortable but they certainly were not the worst either.  There was mold/mildew about the size of a quarter in the bathroom, which was concerning.  The bathtub faucet was broken but they did get a plumber to fix it.   The floors were absolutely gross.  I do not believe that they clean their flooring regularly.  Our son's feet would end up covered in black",March 2017,no elevator so if one cannot walk a staircase then one will need a first floor room,Traveled with family,none,none,none,none,none,none,none,6,401
10 helpful votes,24 contributions,5.0 of 5 bubbles,Will definitely come again,"Very well priced for those travelling on a budget and the beds... They are ridiculously comfortable.  The room is not too big and the air conditioning unit is quite awkwardly placed but for the price of the stay,  this can be overlooked rather easily.",November 2016,none,Traveled as a couple,none,none,none,none,none,none,none,7,401
1 helpful vote,7 contributions,4.0 of 5 bubbles,Value for the Price,They definitely need a paint job but the place was clean.  It looked like they were renovating at the other end of the hotel.  A little ways off for the main trail but not bad.  Management was over the top helpful!,June 2016,none,Traveled with family,none,none,none,none,none,none,none,8,401
2 helpful votes,23 contributions,5.0 of 5 bubbles,Very Clean.  Amazing Value.,"My business partner and I stay here every year for an expo we attend.  Rick is super friendly and will make any accommodation you need.   I don't understand the bad reviews on here.  It has always been very clean and we have been coming for four years.  Sure, it is small, but for the price what do you expect??  We can rent two rooms for less than half the price of something near the convention center.  If you are coming to Anaheim for vacation and you can't stand paying 200 a night for a room, book with Rick.  You won't regret it.",March 2016,none,none,none,none,none,none,none,none,none,9,401
4 helpful votes,9 contributions,1.0 of 5 bubbles,Worst hotel I have been,"This is definitely the worst hotel I've been.  The service is very poor, dirty, internet works very bad, old and dirty furniture, after the cleaning all my clothes were on the floor, noisy, no air drier not even a hook to hang a jacket... should I continue?",November 2015,none,Traveled with friends,none,none,none,none,none,none,none,10,401
