Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
2 helpful votes,2 contributions,5.0 of 5 bubbles,Highly Recommend,"Was very clean and staff was friendly and kind!  Was only two blocks from Disney and for the price we paid, it was worth it! Our room wasn’t ready when we arrived, but we got in at about 8:30 AM. So the front desk held our bags no problem for us until we came back! Definitely would stay here again!",March 2023,none,Traveled with friends,none,none,none,none,none,none,none,1,71
1 helpful vote,2 contributions,5.0 of 5 bubbles,Disneyland Visit,"Very nice place, near to Disney parks.    Easy to check in, nice people and comfortable rooms.     Best option to stay if you dont want to drive back home in the Night.   Big rooms .  also they have a big beds.   For 3/4/5 all your member of your party ..",January 2022,none,Traveled with family,"Dear Ingmurray, Thank you for giving us a five star rating. I am  glad that you found the room comfortable. big  and with big beds. On your next visit, please call us direct at 714-663-8700.  We will be waiting for you.",none,none,none,none,none,none,2,71
none,1 contribution,5.0 of 5 bubbles,Great experience,We went for a religious conference as a part of St. Didacus CCD and the stay was great. Oscar was very attentive and available for any of our needs. Everything started with a fast and swift check-in and the rooms were clean and organized.,February 2023,none,Traveled on business,"Dear  Elbaevz, Thank you for giving us a five star rating. I am glad that you enjoyed  your stay with us. That the check in was fast and swift. And the rooms were clean and organized. I will pass  on your good comments  to  Oscar. On your next visit, please call us direct at 714-663-8700.  My team and I will be waiting for you.",none,none,none,none,none,none,3,71
1 helpful vote,1 contribution,5.0 of 5 bubbles,Our stay was great!,Went to the Religious Education Cogress with St. Didacus CCD. Oscar's services were great. He was very welcoming and made it very easy for our group to check in. The front desk staff was attentive to any of our needs. Our stay was excellent!,January 2023,none,Traveled on business,"Dear 339nelle, Thank you for giving us a five star rating.  My team and I were happy  to see you and the  St. Didacus group again. And we were delighted to know  that  your stay was excellent.  I will pass on your good comments to Oscar. On your next visit, please call us direct at 714-663-8700. We will see you soon. .",none,none,none,none,none,none,4,71
2 helpful votes,1 contribution,4.0 of 5 bubbles,Good location,Rooms were decent could have used more pillows. Beds were ok but not the best if you have back problems. Super convenient location. Everything is walking distance. Park is a few blocks away. Overall not bad.,February 2023,none,none,"Dear DavidZ2552, Thank you for giving us a four star rating. Yes, Disneyland is a walking distance away from us. And also, the Anaheim Conventon Center is  approximately 5 minutes walk from the hotel. On your next visit to Anaheim, please call us direct at 714-663-8700. We will see you soon.",none,none,none,none,none,none,5,71
7 helpful votes,19 contributions,5.0 of 5 bubbles,Great customer service,The rooms were clean and updated. The staff was friendly and helpful. It is a double strip style and there’s only one set of steps far from the room. I noticed other reviews complaint about pillows I feel the same they are a little conservative on them and the AC/Heat isn’t really that great. But I have no complaints that would deter me from staying here at the Expedia prices  and it is a smooth walk to Disney.,January 2023,none,Traveled solo,"Dear Christianryann, Thank you for giving us a five star rating. I am glad that you enjoyed your stay with us. That the staff was friendly and helpful.  Your feedback  is important to us.   On your next visit, please call us direct at 714-663-8700.   We will see you soon.",5.0 of 5 bubbles,none,none,none,none,none,6,71
2 helpful votes,1 contribution,5.0 of 5 bubbles,Edon rock hotel,Excellent very close walk to downtown Disney and the rooms are large and spacious. Front desk very nice Leticia. We did this for a family birthday trip for my daughter and I highly recommend staying at this hotel,February 2023,none,Traveled with family,"Dear  tracyaL5833HV,  Thank you for giving us a five star rating. I am glad that you enjoyed your stay with us. That you found our room large and spacious. I will pass on your good comment to Leticia. On your next visit to Anaheim, CA , please call us direct at 714-663-8700. We will see you soon.",none,none,none,none,none,none,7,71
none,1 contribution,5.0 of 5 bubbles,Phenomenal!,This was my second time staying at Eden Roc for my anniversary vacation and it most definitely won't be my last! The room was super cozy and comfortable. The guest service was super friendly and really accommodating. Their team made our vacation stay really enjoyable and we will definitely be booking again!,December 2022,none,Traveled as a couple,"Dear Anngie D.,  Thank you for giving us a five star rating. I am glad that we did not disappoint you on your second visit with us.  That the room was super cozy and comfortable . And that our team made your stay an enjoyable one. On your next visit to Anaheim, CA, please call us direct at 714-663-8700. We will see you soon.",none,none,none,none,none,none,8,71
none,1 contribution,5.0 of 5 bubbles,Great place to stay,"On Nov 2 2022 I was with some family driving to Anaheim and we needed to stay somewhere for our week long trip. We found Eden Rock Inn & suites online and booked a room and when we got there it was nice, the person at the front desk was nice, The room was clean and it was a nice space. We had my grandmother with us and she is handicapped so when we asked for a handicap room they were more than willing to make a transition from our room to the other room. The beds were comfortable, The desk was nice especially for my online work. The tv worked nice and we were able to find some of our favorite movies on there. When we asked for toilet paper the employees were polite and brought us some and it was the same thing when we needed some towels. This motel also provided a great place",November 2022,none,Traveled with family,"Dear Kittyarmyleader, Thank you for giving us a five star rating. I am glad that you enjoyed your stay with. Room you stayed with was spacious and clean.  And the beds were comfortable . In addition, the front desk team was helpful  and nice. I will pass on these comments to my team. On your next visit to Anaheim, CA please call us direct at 714-663-8700. We will see you soon.",none,none,none,none,none,none,9,71
none,1 contribution,5.0 of 5 bubbles,Great place to stay!,"When you’re rolling 6 deep, the ability of everyone to share a suite and have a bed is something that is amazing. Bathrooms big enough for all, rooms big enough to not feel cramped, etc. fridge & microwave for leftovers and snacks. Space for 2 scooters in the room that we could charge overnight.   Pool is warm I like some other places we have stayed, staff all extremely accommodating, friendly, and helpful.   Asked the 10YO any pros and cons and she reiterated pros above and changes could be: More hangers and another suit case caddy.   If those are the cons, you’re gonna have a great trip!",October 2022,none,Traveled with family,"Dear Pattapit, Thank you for giving us a five star rating. I am glad that you enjoyed your stay with us. That the room was spacious and clean. I will surely pass on your good comments to my team-- extremely accommodating and friendly. Thank you for your good suggestions as well. Next time you visit Anaheim, please call us direct at 714-663-8700. We will see you soon.",none,none,none,none,none,none,10,71
6 helpful votes,14 contributions,3.0 of 5 bubbles,Dirty motel,"Staff was rude when we arrived,  it was a late check in at nearly 10pm. We got our room,  in a corner of the hotel,  which is strip style, 2 stories outside entrances.  The headboard was the first thing my husband noticed,  nasty sex encounter smears. We had already unpacked enough that we decided to just sleep in the other bed and deal with it the next day.  When I told the manner in duty with photos about it,  he acted annoyed.  Wrote a note for housekeeping and said they would clean our room the next day.  So we continued to stay in our room,  and found that everytime we did anything we'd find long dark hair everywhere, particularly gross in the shower and bathroom floor.  Overall,  We found the property to be fairly run down,  motel 6 style,  no vending machines or other",October 2022,none,none,"Dear 143friggi, We are sorry to hear about your stay. We take your review seriously and we will do our best to  improve, so next time you stay with us , it will be a nice stay. Please call us direct at 714-663-8700.",none,none,none,none,none,none,11,71
none,2 contributions,5.0 of 5 bubbles,Our hotel of choice when we visit Disneyland!,"My family and I have been staying at Eden Roc for many years now and we won't stay anywhere else. It is a close walk to the park and the staff is always so friendly. Oscar has always treated us like family and because of this we continue to refer all of my family, friends, co-workers, and even my patients to this location. In fact, they have stayed here and had nothing but good things to say. The rooms are clean and tidy and the restrooms are large. Our stays are comfortable and I know we will be charged a fair price here every time.  ---Dr. Claudia Avilez, PharmD",October 2022,none,none,"Dear Q8890UBclaudia, Thank you for giving us a five star rating. My team and I  know that there are so many hotels for you  to choose from but you have continuously stayed with us. Thank you for  your loyalty and referring Eden Roc Inn and Suites to your family, friends, co-workers and patients. I will pass on your good comments to Oscar. You and  your family are part of the Eden Roc Inn and Suites family . My team and I will be waiting for your next visit.",none,none,none,none,none,none,12,71
2 helpful votes,5 contributions,1.0 of 5 bubbles,Nooooooo!,"First let me say I have used trip advisor for travel all over the US and parts of Europe and while I did not always agree 100% I have always had a good experience, until now. This trip included my wife and 3 grown kids. We arrived late in the evening. Our room was huge and upon entering looked and smelled clean but VERY sparsely furnished. There were 2 queen beds, a sofa bed in the back corner, 1 tiny night stand between the two beds, and a desk with a small TV that was very hard to see from the bed which was the only place to sit. That's it! There were ZERO lamps, only the extremely bright overhead lighting and no switches near the beds. The furniture was from, I'm guessing, the 70's. We thought maybe it was retro with the orange sofa bed but when we opened the sofa and saw the",October 2022,none,none,"Dear B8375YWmikeb, We are very sorry to hear about your stay with us. We take your review very seriously and we will do our best to make sure this will not happen again.  We appreciate your business and would like to see you and your family in the near future.   Respectfully Yours,",none,none,none,none,none,none,13,71
none,1 contribution,1.0 of 5 bubbles,You don’t get what you pay for,"Trip Advisor reviews have never steered me wrong — until now.  This place is close to Disneyland and the room is clean — but, you certainly do NOT get what you pay for.  The beds are awful.  I thought - cool retro sofa bed; nope, it must actually be from the 70s, horribly sunk in the middle.  The one blanket on the bed is thread bare - we can actually see through it.  There are  tiny tiny pillows on the bed, one for each sleeper.  There is NO elevator and one of us cannot do stairs.  There are no lamps in the room - it’s all overhead lighting or nothing.  And the final straw - we got ‘housekeeping’ which means we had to gather our dirty towels and give give them to a man who knocked on our door.  If I wanted a very low budget MOTEL (don’t know how you call this a inn and suites)",October 2022,none,none,"Dear MJB651, We are sorry to hear your unpleasant stay with us. We have brought  your concerns to all our team members so we can prevent this from happening again. Thank you for your feedback . We hope you can stay with us in the near future.",none,none,none,none,none,none,14,71
20 helpful votes,32 contributions,5.0 of 5 bubbles,Perfectly nice little place near Disneyland,"This is wonderful place for families on a budget. It's about a block from the Paradise Pier Hotel, so it is a healthy walk to Disneyland Resort. It's clean, well maintained and staff were pleasant and helpful. I stayed there for D23 and rooms were 1/2 the price of any other hotels in the area. Nothing fancy, just a nice, solid, inexpensive place to stay.",September 2022,none,none,"Dear CCearthly,  Thank you for giving us a five star rating. I am glad that you enjoyed your stay with us. That the hotel is well maintained and staff were pleasant and helpful. On your next visit to Anaheim, please call us direct at 714-663-8700. We will see you soon.",none,none,none,none,none,none,15,71
none,1 contribution,5.0 of 5 bubbles,"Great price, clean, very accommodating","My family and I wanted a hotel close to Disneyland that was clean and a great price. The hotel was even more accommodating than I expected. I told Anthony at the front desk and online that we were there to celebrate my daughters birthday at Disneyland. When we came back to our room that night, there were balloons all over the room. My daughter loved it and  Eden Roc made her birthday very special! Thank you and I am sure we will be back.",September 2022,none,none,"Dear Monicab5777DQ, Thank you  for giving us a five star rating. I am glad that your daughter enjoyed her birthday.    Anthony will be happy to hear that he made your daughters birthday special. On your next visit, please call us direct at 714-663-8700.  The family at Eden Roc Inn and Suites will be waiting for you.",none,none,none,none,none,none,16,71
none,2 contributions,5.0 of 5 bubbles,Ms Casey Gast,Had a lovely stay at Edenrock! Agnes and Anthony were fantastic. They were understanding and more than accommodating of our needs with two little ones and a  scatterbrained Mini! Thank you so much. We’ll be back for sure!,August 2022,none,none,"Dear CaseygP88000Q, Thank you for giving us a five star rating. I am glad that you had a lovely stay with us here at Eden Roc. On your next visit here at Anaheim, CA , please call us direct at 714-663-8700. We will see you soon.",none,none,none,none,none,none,17,71
none,1 contribution,2.0 of 5 bubbles,Disappointed,"Due to a flight change, needed to book a single night in the area. Immediately after checking in and getting into our room, we found bugs all over the place! Transferred to a different room and it was evident that maintenance is a huge issue. Mold/mildew in the bathroom area and fixtures were falling apart. I won’t be returning.",August 2022,none,none,"Dear Anthony, WE are sorry to read about your recent stay with us. We understand that the last thing you want during your stay is unwanted stress. We thank you for bringing these up to your attention. I will pass on your concerns to our pest control guy as well as to our maintenance man to prevent these from happening. Again, we appreciate your business and would like to see you sometime in the near future.",none,none,none,none,none,none,18,71
48 helpful votes,297 contributions,5.0 of 5 bubbles,Under rated for what this place has to offer.,"Location to Anaheim Convention centre and Disneyland couldn’t be better. Driving from John Wayne airport is 20 minutes and easy to find. There is onsite parking for $15 a night unless you book directly with Eden Roc for which it is then included. Rooms are large and come with coffee maker, microwave and fridge as well as air conditioning. They have handicapped rooms which are very large. Bathroom has toilet and shower separate from sink and dispensers with shampoo, conditioner and body wash.  Pool is nice and doesn’t seem to be used much. Staff are accommodating, friendly and hard workers.",June 2022,none,none,"Dear Ljd4, Thank you for giving us a five star rating. I am glad that you enjoyed your stay with us. That the rooms are large and has needed amenities. I will pass on your good comments to my front desk team. On your next visit ,please call us direct at 714-663-8700",none,none,none,none,none,none,19,71
79 helpful votes,56 contributions,5.0 of 5 bubbles,Affordable. Walking Distance to Theme Parks,"This hotel is in a great location. Right across from Disney California Adventure and right next to the Anaheim Convention Center. About a 12 min walk from the property to Downtown Disney and the parks. We checked in around 4pm and were greeted by the kind staff. The room we stayed in was very nice and clean.  A comfortable king size bed.  No weird or musty smells.  Microwave and refrigerator included. The bathroom was clean. The grounds of this property are also clean and well maintained. Didn't have time to use the pool. But it did look rather inviting.  If you're like us, when you visit Disneyland, no need to spend a lot of money on a hotel since you're at the park all day. The Eden Roc Inn is the perfect place.  Reasonably priced for the area in which it is located.  We will",June 2022,none,none,"Dear Davyboy75, Thank you for giving us a five star rating.  I will pass on your good comments to my team members.  That Eden Roc is the perfect place to stay. That the room is clean, no musty smell and the bathroom is clean. The grounds of the property is well maintained. And the kind staff . On your next visit, please call us direct at 714-663-8700. My team and I will be waiting for you.",none,none,none,none,none,none,20,71
none,1 contribution,4.0 of 5 bubbles,Pretty Great Hotel and Location!,"Do not let the motel-look confuse you, this is a very nice, kept up hotel with spacious rooms, friendly management, and comfortable amenities. It is a very short walk from the Disneyland resort! Our first day we had no hot water in the shower but it was fixed afterward. Overall a great stay!",June 2022,none,none,"Dear KellysQ3489VU, Thank you for giving us a four star rating. I am glad that you enjoyed your stay with us. Yes we are very near Disneyland. Not only are we near the Disneyland area. But we are also a walking distance away from the Anaheim Convention Center. I am glad that your issue about the hot water was fixed right away. On your next visit to Anaheim, CA, please call us direct at 714-663-8700.",none,none,none,none,none,none,21,71
1 helpful vote,12 contributions,5.0 of 5 bubbles,Location is everything!,"Location to Disneyland was such a close walk.  They welcomed my husband and I on our honeymoon with a flower arrangement and bottle of wine. The room was clean, spacious and updated!  We would definitely stay here again due to it having everything we needed.",May 2022,none,none,"Dear Sunbun007, Thank you for giving us a five star rating. My team and I know that there are many hotels in Anaheim that you can choose from. And we are glad that you selected Eden Roc Inn and Suites on your honeymoon. And you like the room-- clean, spacious and updated.   On your next visit, please call us direct at 714-663-8700. We will see you soon.",none,none,none,none,none,none,22,71
none,1 contribution,4.0 of 5 bubbles,Eden Roc Suites,Great room for the price.  Less than a mile walk from hotel room to Disneyland front gate.  Rooms clean and updated.  Only negative is noise when street is busy and loud families getting ready for Disneyland in the morning.,May 2022,none,none,"Dear Darrylr684, Thank you for giving us a four star rating. I am glad that you liked the room-- that it is clean and updated. Not only are we a walking distance from Disneyland. We are also a walking distance from the Anaheim Convention Center. On your next visit to  Anaheim, CA please call us direct at 714-663-8700. We will see you soon.",none,none,none,none,none,none,23,71
none,1 contribution,5.0 of 5 bubbles,Amazing stay,"We had an amazing stay at Eden Roc. The Manager was very nice and accommodating to our needs! Comfortable , clean rooms and nice pool area!  Parking was convenient. They even made a big deal about my daughters birthday, so sweet! Will def stay here again!",May 2022,none,none,"Dear MichellecP2746PB. Thank you for giving us a five star rating. I am glad that you enjoyed your stay with us . That the room is comfortable and clean. And nice pool area. I hope we will  see you soon and celebrate your daughter's  next birthday. Or even sooner. On your next visit to  Anaheim, CA , please call us direct  at 714-663-8700. We will be waiting for you and your family.",none,none,none,none,none,none,24,71
1 helpful vote,6 contributions,5.0 of 5 bubbles,Our New Favorite Place to Stay When We Visit the Parks.,"We found the Eden Roc hotel by searching for a place to stay near the convention center. What a pleasant surprise it was to stay here. We didn’t realize how close it is to downtown Disney, so that was a treat. The place was very clean and new. The staff were awesome and knowledgeable. We will definitely stay here again. It is a nice flat (no hill) walk to the parks and back.",May 2022,none,none,"Dear lisaI9264YQ,  Thank you for giving us a five star rating. I am glad that you found Eden Roc Inn and Suites. And now your new favorite place to stay.  Yes, not only are we close to Disneyland . We are also close to the Anaheim Convention Center.  I will pass on your good comments to my team. That the place is clean. And the front desk team was awesome and knowledgeable. My team and I know that there are many hotels to choose from in Anaheim, CA. And we are glad that you selected Eden Roc Inn and Suites. On your next visit to Anaheim, CA , please call us at 714-663-8700. My team and I cannot wait to see you soon.",none,none,none,none,none,none,25,71
